On the Underworld and the Soul
Ἀποσπάσματα
by Democritus of Abdera
eul_wid: byu-ab    eul_aid: byu

Period   Classical
Dialect  Ionic
Domain   Philosophy
Format   Collection

The work conventionally titled On the Underworld and the Soul is not a discrete, surviving text by the pre-Socratic philosopher Democritus of Abdera. It is a modern scholarly construct, a thematic compilation of his doctrines pieced together from fragmentary quotations and testimonia preserved by later ancient authors. Democritus, a prolific writer of the 5th and 4th centuries BCE and a principal architect of atomist philosophy, posited that all reality consists of indivisible particles, or atoms, moving in void space. Within this rigorously materialist system, he defined the soul as a composite of particularly fine, spherical, and mobile atoms. Consequently, his view of death entailed the dissolution of this atomic compound, precluding any form of personal immortality or a literal afterlife. References to Hades in the surviving fragments are thus generally interpreted by modern scholarship not as descriptions of a subterranean realm of the dead, but as ethical allegories for a life of moral and psychological wretchedness.

No complete work by Democritus survives. Our knowledge derives entirely from secondary sources, including over four hundred fragments and reports collected from authors such as Aristotle, Sextus Empiricus, Plutarch, and the anthologist Stobaeus. These fragments reveal a wide-ranging intellect who applied his atomic theory to ethics, advocating for a state of tranquility, or euthymia, achieved through moderation, intellectual cultivation, and freedom from irrational fears, including the terror of divine retribution after death. His physical and ethical theories were critically adopted and developed by Epicurus in the following century and were later given powerful poetic expression by Lucretius, securing Democritus's enduring influence on the history of materialist and scientific thought.

Text
----

tit,0a-4a	ΔΗΜΟΚΡΙΤΟΥ ΗΘΙΚΑ
61	—26. οἷσιν ὁ τρόπος ἐστὶν εὔτακτο ς , τούτοισι καὶ ὁ βίος συντέτακται [Stob. III 37, 25].
62	—27. ἀγαθὸν οὐ τὸ μὴ ἀδικεῖ ν , ἀλλὰ τὸ μηδὲ ἐθέλειν [Stob. III 9, 29].
63	—28. εὐλογέειν ἐπὶ καλοῖς ἔργμασι καλό ν · τὸ γὰρ ἐπὶ φλαύροισι κιβδήλου καὶ ἀπατεῶνος ἔργον [Stob. III 14, 8].
64	—29. πολλοὶ πολυμαθέες νοῦν οὐκ ἔχουσιν [Stob. III 4, 81].
65	—30. πολυνοΐη ν , οὐ πολυμαθίην ἀσκέειν χρ ή. Vgl. Heraklit B 40.
66	—31. προβουλεύεσθαι κρεῖσσον πρὸ τῶν πράξεων ἢ μετανοεῖ ν.
67	—32. μὴ πᾶσι ν , ἀλλὰ τοῖς δοκίμοισι πιστεύει ν · τὸ μὲν γὰρ εὔηθε ς , τὸ δὲ σωφρονέοντο ς.
68	—33. δόκιμος ἀνὴρ καὶ ἀδόκιμος οὐκ ἐξ ὧν πράσσει μόνο ν , ἀλλὰ καὶ ἐξ ὧν βούλετα ι.
69	—34. ἀνθρώποις πᾶσι τωὐτὸν ἀγαθὸν καὶ ἀληθέ ς · ἡδὺ δὲ ἄλλωι ἄλλ ο.
70	—35. παιδό ς , οὐκ ἀνδρὸς τὸ ἀμέτρως ἐπιθυμεῖ ν.
71	—36. ἡδοναὶ ἄκαιροι τίκτουσιν ἀηδία ς.
72	—37. αἱ περί τι σφοδραὶ ὀρέξεις τυφλοῦσιν εἰς τἆλλα τὴν ψυχή ν.
73	—38. δίκαιος ἔρως ἀνυβρίστως ἐφίεσθαι τῶν καλῶν [Stob. III 5, 23].
74	—39. ἡδὺ μηδὲν ἀποδέχεσθα ι , ἢν μὴ συμφέρη ι.
75	—40. κρέσσον ἄρχεσθαι τοῖς ἀνοήτοισιν ἢ ἄρχειν [Stob. IV 2, 13].
76	—41. νηπίοισιν οὐ λόγο ς , ἀλλὰ ξυμφορὴ γίνεται διδάσκαλο ς.
77	DEMOKRAT. 42. δόξα καὶ πλοῦτος ἄνευ ξυνέσιος οὐκ ἀσφαλέα κτήματα [Stob. III 4, 82].
78	—43. χρήματα πορίζειν μὲν οὐκ ἀχρεῖο ν , ἐξ ἀδικίης δὲ πάντων κάκιον [Stob. IV 31, 121].
79	—44. χαλεπὸν μιμεῖσθαι μὲν τοὺς κακού ς , μηδὲ ἐθέλειν δὲ τοὺς ἀγαθού ς.
80	—45. αἰσχρὸν τὰ ὀθνεῖα πολυπραγμονέοντα ἀγνοεῖν τὰ οἰκήϊ α.
81	—46. τὸ ἀεὶ μέλλειν ἀτελέας ποιεῖ τὰς πρήξιας [Stob. III 29, 67].
82	—47. κίβδηλοι καὶ ἀγαθοφανέες οἱ λόγωι μὲν ἅπαντ α , ἔργωι δὲ οὐδὲν ἔρδοντε ς. — * 48. μακάριος, ὃς οὐσίαν καὶ νοῦν ἔχει· χρῆται γὰρ εἰς ἃ δεῖ καλῶς.
83	—49. ἁμαρτίης αἰτίη ἡ ἀμαθίη τοῦ κρέσσονο ς.
84	—50. ἑωυτὸν πρῶτον αἰσχύνεσθαι χρεὼν τὸν αἰσχρὰ ἔρδοντ α.
85	—51. ὁ ἀντιλογεόμενος καὶ πολλὰ λεσχηνευόμενος ἀφυὴς ἐς μάθησιν ὧν χρή [Stob. II 31, 73].
86	—52. πλεονεξίη τὸ πάντα λέγει ν , μηδὲν δὲ ἐθέλειν ἀκούειν [Stob. III 36, 24].
87	—53. τὸν φαῦλον παραφυλάττειν δε ῖ , μὴ καιροῦ λάβητα ι .
88	—54. ὁ φθονέων ἑωυτὸν ὡς ἐχθρὸν λυπέει [Stob. III 38. 47].
89	—55. ἐχθρὸς οὐχ ὁ ἀδικέω ν , ἀλλὰ ὁ βουλόμενο ς.
90	—56. ἡ τῶν συγγενῶν ἔχθρη τῆς τῶν ὀθνείων χαλεπωτέρη μάλ α.
91	—57. μὴ ὕποπτος πρὸς ἅπαντα ς , ἀλ λ ’ εὐλαβὴς γίνου καὶ ἀσφαλή ς.
92	DEMOKRAT. 58. χάριτας δέχεσθαι χρεὼν προσκοπευόμενον κρέσσονας αὐτῶν ἀμοιβὰς ἀποδοῦνα ι.
93	—59. χαριζόμενος προσκέπτεο τὸν λαμβάνοντ α , μὴ κακὸν ἀν τ ’ ἀγαθοῦ κίβδηλος ἐὼν ἀποδῶ ι.
94	—60. μικραὶ χάριτες ἐν καιρῶι μέγισται τοῖς λαμβάνουσ ι.
95	—61. τιμαὶ παρὰ τοῖς εὖ φρονέουσι μέγα δύναντα ι , οἳ ξυνιᾶσι τιμώμενο ι.
96	—62. χαριστικὸς οὐχ ὁ βλέπων πρὸς τὴν ἀμοιβή ν , ἀλ λ ’ ὁ εὖ δρᾶν προηιρημένο ς.
97	—63. πολλοὶ δοκέοντες εἶναι φίλοι οὐκ εἰσ ί , καὶ οὐ δοκέοντες εἰσί ν.
98	—64. ἑνὸς φιλίη ξυνετοῦ κρέσσων ἀξυνέτων πάντω ν.
99	—65. ζῆν οὐκ ἄξιο ς , ὅτωι μηδὲ εἷς ἐστι χρηστὸς φίλο ς.
100	—66. ὅτεωι μὴ διαμένουσιν ἐπὶ πολλὸν οἱ πειραθέντες φίλο ι , δύστροπο ς.
101	—67. ἐκτρέπονται πολλοὶ τοὺς φίλου ς , ἐπὴν ἐξ εὐπορίης εἰς πενίην μεταπέσωσι ν.
102	—68. καλὸν ἐν παντὶ τὸ ἶσο ν · ὑπερβολὴ δὲ καὶ ἔλλειψις οὔ μοι δοκέε ι.
103	—69. οὐ δ ’ ὑ φ ’ ἑνὸς φιλέεσθαι δοκέει μοι ὁ φιλέων μηδέν α.
104	—70. γέρων εὔχαρις ὁ αἱμύλος καὶ σπουδαιόμυθο ς.
105	—71. σώματος κάλλος ζωιῶδε ς , ἢν μὴ νοῦς ὑπῆ ι.
106	—72. ἐν εὐτυχίηι φίλον εὑρεῖν εὔπορο ν , ἐν δὲ δυστυχίηι πάντων ἀπορώτατο ν.
107	DEMOKRATES 73. φίλοι οὐ πάντες οἱ ξυγγενέε ς , ἀλ λ ’ οἱ ξυμφωνέοντες περὶ τοῦ ξυμφέροντο ς.
107a	—74. ἄξιον ἀνθρώπους ὄντας ἐ π ’ ἀνθρώπων συμφοραῖς μὴ γελᾶ ν , ἀλ λ ’ ὀλοφύρεσθα ι.
108	—75. διζημένοισι τἀγαθὰ μόλις παραγίνετα ι , τὰ δὲ κακὰ καὶ μὴ διζημένοισιν [Stob. IV 34, 58].
109	—76. οἱ φιλομεμφέες εἰς φιλίην οὐκ εὐφυέε ς.
110	—77. γυνὴ μὴ ἀσκείτω λόγο ν · δεινὸν γά ρ.
111	—78. ὑπὸ γυναικὸς ἄρχεσθαι ὕβρις εἴη ἂν ἀνδρὶ ἐσχάτη [Stob. IV 23, 39].
112	—79. θείου νοῦ τὸ ἀεί τι διαλογίζεσθαι καλό ν. — * 80. ἢν πιστεύηι τις θεοὺς ἐπισκοπεύειν πάντα, οὔτε λάθρη οὔτε φανερῶς ἁμαρτήσεται
113	—81. μεγάλα βλάπτουσι τοὺς ἀξυνέτους οἱ ἐπαινέοντε ς.
114	—82. βέλτερον ὑ φ ’ ἑτέρου ἢ ὑ φ ’ ἑαυτοῦ ἐπαινέεσθα ι.
115	—83. ἢν μὴ γνωρίζηις τοὺς ἐπαίνου ς , κολακεύεσθαι ἡγέ ο. — * 84. ὁ κόσμος σκηνή, ὁ βίος πάροδος· ἦλθες, εἶδες, ἀπῆλθες. — * 85. ὁ κόσμος ἀλλοίωσις, ὁ βίος ὑπόληψις — * 86. τίμιον ὀλίγη σοφία ὑπὲρ δόξαν ἀφροσύνης μεγάλης.
116	DIOG. IX 36 CIC. Tusc. v 36, 104 intellegendum est igitur nec gloriam popularem ipsam per sese expetendam nec ignobilitatem extimescendam. ‘veni Athenas‘ inquit D. ‘neque me quisquam ibi adgnovit‘. constantem hominem et gravem, qui glorietur a gloria se afuisse. ἦλθον γὰρ εἰς Ἀθήνας καὶ οὔ τίς με ἔγνωκε ν.
117	DIOG. IX 72 Δ. δὲ τὰς ποιότητας ἐκβάλλων, ἵνα φησί ‘ νόμωι θερμό ν , νόμωι ψυχρό ν , ἐτεῆι δὲ ἄτομα καὶ κενόν ‘ [B 125] καὶ πάλιν· ἐτεῆι δὲ οὐδὲν ἴδμε ν · ἐν βυθῶι γὰρ ἡ ἀλήθει α. Vgl. CIC. Ac. pr. II 10, 32 naturam accusa, quae in profundo veritatem, ut ait D., penitus abstruserit.
118	DIONYSIOS, bei Eus. P. E. XIV 27, 4 Δ. γοῦν αὐτός, ὥς φασιν, ἔλεγε βούλεσθαι μᾶλλον μίαν εὑρεῖν αἰτιολογίαν ἢ τὴν Περσῶν οἱ βασιλείαν γενέσθα ι· καὶ ταῦτα μάτην καὶ ἀναιτίως αἰτιολογῶν ὡς ἀπὸ κενῆς ἀρχῆς καὶ ὑποθέσεως πλανωμένης ὁρμώμενος καὶ τὴν ῥίζαν καὶ τὴν κοινὴν ἀνάγκην τῆς τῶν ὄντων φύσεως οὐχ ὁρῶν, σοφίαν δὲ μεγίστην ἡγούμενος τὴν τῶν ἀσόφως καὶ ἠλιθίως συμβαινόντων κατανόησιν, καὶ τὴν τύχην τῶν μὲν καθόλου καὶ τῶν θείων δέσποιναν ἐφιστὰς, καὶ βασιλίδα, καὶ πάντα γενέσθαι κατ’ αὐτὴν ἀποφαινόμενος, τοῦ δὲ τῶν ἀνθρώπων αὐτὴν ἀποκηρύττων βίου καὶ τοὺς πρεσβεύοντας αὐτὴν ἐλέγχων ἀγνώμονας.
119	— —(5) τῶν γοῦν ὑποθηκῶν ἀρχόμενος λέγει ‘ ἄνθρωποι .. . ἰδίης ἀνοίησ ‘. φύσει γὰρ γνώμηι τύχη μάχεται· καὶ τὴν ἐχθίστην τῆι φρονήσει ταύτην αὐτὴν ἔφασαν κρατεῖν· μᾶλλον δὲ καὶ ταύτην ἄρδην ἀναιροῦντες καὶ ἀφανίζοντες ἐκείνην ἀντικαθιστᾶσιν αὐτῆς· οὐ γὰρ εὐτυχῆ τὴν φρόνησιν, ἀλλ’ ἐμφρονεστάτην ὑμνοῦσι τὴν τύχην. STOB. II 8, 16 Δ—ου. ἄνθρωποι .. . κατιθύνε ι. EPICUR. Sent. 16 [p. 74, 17 Us.] βραχέα σοφῶι τύχη παρεμπίπτει, τὰ δὲ μέγιστα καὶ κυριώτατα ὁ λογισμὸς διώικηκε καὶ κατὰ τὸν συνεχῆ χρόνον τοῦ βίου διοικεῖ καὶ διοικήσει. ἄνθρωποι τύχης εἴδωλον ἐπλάσαντο πρόφασιν ἰδίης ἀβουλίη ς . βαιὰ γὰρ φρονήσει τύχη μάχετα ι , τὰ δὲ πλεῖστα ἐν βίωι εὐξύνετος ὀξυδερκείη κατιθύνε ι.
120	EROTIAN. p. 90, 18 N. φλέβας δὲ οὐ τὰς συνήθως λεγομένας, ἀλλὰ τὰς ἀρτηρίας ὠνόμασε. καὶ ὁ Δ. δὲ φλεβοπαλίην καλεῖ τὴν τῶν ἀρτηριῶν κίνησιν.
121	EUSTATH. zu β 190 p. 1441 Δ. δὲ ‘ ἐπιτηδειέστατον ‘ φησί.
122	ETYM. GEN. ἀλαπάξαι: ἐκπορθῆσαι παρὰ τὴν λάπαθον τὴν βοτάνην ἥ ἐστι κενωτικὴ γαστρός. καὶ Δ. τοὺς βόθρους τοὺς παρὰ τῶν κυνηγετῶν γινομένους λαπάθους καλεῖ διὰ τὸ κεκενῶσθαι. ANECD. BEKK. LEX. VI 374, 14 ἀμέλει Δ. τοὺς βόθρους τοὺς πρὸς τῶν κυνηγῶν σκαπτομένους οἷς ὑπεράνω κόνις λεπτὴ ἐπιχεῖται καὶ φρύγανα ἐπιβάλλεται, ἵνα οἱ λαγωοὶ ἐμπίπτωσιν εἰς αὐτούς, λαπάθους φησὶ καλεῖσθαι.
122a	— γυν ή: ... ἤ, ὡς Δ., γονή τις οὖσα, ἡ γονῆς δεκτική.
123	— δείκελο ν: παρὰ δὲ Δημοκρίτωι κατ’ εἶδος ὁμοία τοῖς πράγμασιν ἀπόρροια.
124	[GALEN]. d. defin. med. 439 [XIX 449 K.] ἐκκρίνεται τὸ σπέρμα ὥσπερ Πλάτων (Tim. 91 A) φησὶ καὶ Διοκλῆς [fr. 170 S. 196 Wellm.] ἀπὸ ἐγκεφάλου καὶ νωτιαίου· Πραξαγόρας δὲ καὶ Δ. ἔτι τε Ἱπποκράτης ἐξ ὅλου τοῦ σώματος, ὁ μὲν Δ. λέγων ‘ ἄνθρωποι εἷς ἔσται καὶ ἄνθρωπος πάντεσ ‘ [?].
125	GALEN. de medic. empir. fr. ed. H. Schöne [ Berl. Sitz. Ber. 1901] 1259, 8 ὃς γὰρ οὐδ’ ἄρξασθαι δύναται τῆς ἐναργείας χωρίς, πῶς ἂν οὗτος πιστὸς εἴη, παρ’ ἧς ἔλαβε τὰς ἀρχάς, κατὰ ταύτης θρασυνόμενος; τοῦτο καὶ Δ. εἰδώς, ὁπότε τὰ φαινόμενα διέβαλε, ‘ νόμωι χροι ή , νόμωι γλυκ ύ , νόμωι πικρόν ‘, εἰπών, ‘ ἐτεῆι δ ’ ἄτομα καὶ κενόν ‘, ἐποίησε τὰς αἰσθήσεις λεγούσας πρὸς τὴν διάνοιαν οὕτως· ‘ τάλαινα φρή ν , πα ρ ’ ἡμέων λαβοῦσα τὰς πίστεις ἡμέας καταβάλλει ς ; πτῶμά τοι τὸ κατάβλημα ‘.
126	—de differ. puls. I 25 [VIII 551 K] κοινὸν μέν, ἀφ’ οὗ καὶ τοὔνομα ἑκατέροις, τῶι μὲν κυματώδει τὸ οἷον κύματα ἐπανίστασθαι κατὰ τὴν ἀρτηρίαν ἕτερον ἐφ’ ἑτέρωι, τῶι δὲ σκωληκίζοντι σκώληκος ἐοικέναι πορείαι καὶ αὐτοῦ τοῦ ζώιου κυματωδῶς κινουμένου, καθάπερ καὶ Δ. λέγει που περὶ τῶν τοιούτων διαλεγόμενος τῶν ‘ ὅσα κυματοειδῶς ἀνὰ τὴν πορείαν πλάζεται ‘. ARISTOT. Hist. anim. E 19. 551 b 6 γίνονται δὲ καὶ τὰ ὕπερα καὶ τὰ πηνία ἔκ τινων τοιούτων ἄλλων, αἳ κυμαίνουσι τῆι πορείαι καὶ προβᾶσαι τῶι ἑτέρωι κάμψασαι ἐπιβαίνουσιν.
127	HERODIAN. π. καθολ. προς. bei Eustath. zu ξ 428 p. 1766 [II 445, 9 L.] καὶ Δ. ‘ ξυόμενοι ἄνθρωποι ἥδονται καί σφιν γίνεται ἅπερ τοῖς ἀφροδισιάζουσιν ‘.
128	—π. καθολ. προς. bei Theogn. p. 79 [I 355, 19 L.] εἰς ων οὐδέτερον μονογενὲς ἢ εἰς ην ἢ εἰς αν ἢ εἰς εν ἢ εἰς ιν ἢ εἰς υν οὐκ ἔστιν εὑρεῖν. τὸ γὰρ ἰθύτρην παρὰ Δ—ωι βεβίασται.
129	—περὶ παθῶν in Et. gen. s. νένωται [II 253 L.] καὶ πάλιν ὡς χρυσόονται, χρυσοῦνται οὕτω καὶ νόονται, νοῦνται. Δ. φρενὶ θεῖα νοῦντα ι.
129a	— —Epimer. Hom. 396, 11 [II 224 n. L.] καὶ παρὰ τὸ κλίνω κέκλιται παρὰ τῶι Δ—ωι χωρὶς τοῦ ν .
130	HESYCH. ἀμφιδήτιο ι· ὡς κρίκοι διάκενοι παρὰ Δ—ωι.
131	— ἀπάτητο ν: τὸ ἀνωμάλως συγκείμενον παρὰ Δ—ωι.
132	— ἀσκαληρέ ς: ἰσόπλευρον παρὰ Δ—ωι.
133	— βροχμώδη ς: ἡ νοτερὰ καὶ ἁπαλή. Δ—ος.
134	— βρόχο ς: ἀγκύλη Δ—ος, ἀγχόνη, δεσμός.
135	— δεξαμενα ί: ὑδάτων δοχεῖα, καὶ ἐν τῶι σώματι φλέβε ς. Δ—ου.
136	— δυοχο ῖ: πωματίζει παρὰ Δ—ωι. Vgl. δυοχῶσα ι: πωμάσαι.
137	— συγγον ή: σύστασις. Δ—ος.
138	— ἀμειψικοσμί η: μετακόσμησις.
139	— ἀμειψιρυσμεῖ ν: ἀλλάσσειν τὴν σύγκρισιν ἢ μεταμορφοῦσθαι.
139a	ἀμειψίχρο〈ο〉 ν: μεταβάλλον τὰ 〈χρώματα〉.
140	HESYCH. εὐεστ ώ: ... εὐδαιμονία ἀπὸ τοῦ εὖ ἑστάναι τὸν οἶκον.
141	— ἰδέ α: ἡ ὁμοιότης, μορφή, εἶδος. καὶ τὸ ἐλάχιστον σῶμ α.
142	OLYMPIOD. in Plat. Phileb. 2 p. 242 Stallb. τί τὸ τοσοῦτον σέβας περὶ τὰ θεῶν ὀνόματα τοῦ Σωκράτους; ἢ ὅτι πάλαι καθιέρωται τοῖς οἰκείοις τὰ οἰκεῖα καὶ ἄτοπον κινεῖν τὰ ἀκίνητα ἢ ὅτι φύσει αὐτοῖς ὠικείωται κατὰ τὸν ἐν Κρατύλωι λόγον ἢ ὅτι ἀγάλματα φωνήεντα καὶ ταῦτά ἐστι τῶν θεῶν, ὡς Δ.; HIEROCL. in Pyth. c. aur. 25 τὸ τοῦ Διὸς ὄνομα σύμβολόν ἐστι καὶ εἰκὼν ἐν φωνῆι δημιουργικῆς οὐσίας τῶι τοὺς πρώτους θεμένους τοῖς πράγμασι τὰ ὀνόματα διὰ σοφίας ὑπερβολὴν ὥσπερ τινὰς ἀγαλματοποιοὺς ἀρίστους διὰ τῶν ὀνομάτων ὡς δι’ εἰκόνων ἐμφανίσαι αὐτῶν τὰς δυνάμεις.
143	PHILODEM. de ira 28, 17 G. κἀπαντῶσι δὲ πολλάκι πολλαὶ συμφοραὶ καὶ φίλοις καὶ προσήκουσιν ἄλλοις, ἔστι δ’ ὅτε καὶ πατρίσι καὶ βασιλείαις, οὐ πάλαι μόνον, ὅθ’ ἡ μῆνις ἐκείνη μυρί’ Ἀχαιοῖς ἄλγη ἔθηκεν, ἀλλ’ ὁσημέραι, καὶ μικροῦ δεῖν ‘ ὅσα τις ἂν νώσαιτο‘ κατὰ Δημόκριτον ‘κακά‘ πάντα παρακολουθεῖ διὰ τὰς ὑπερμέτρους ὀργάς.
144	—de music. Δ 31 p. 108, 29 Kemke Δ. μὲν τοίνυν, ἀνὴρ οὐ φυσιολογώτατος μόνον τῶν ἀρχαίων, ἀλλὰ καὶ τῶν ἱστορουμένων οὐδενὸς ἧττον πολυπράγμων, μουσικήν φησι νεωτέραν εἶναι καὶ τὴν αἰτίαν ἀποδίδωσι λέγων μὴ ἀποκρῖναι τἀναγκαῖο ν , ἀλλὰ ἐκ τοῦ περιεῦντος ἤδη γενέσθα ι.
144a	PHOTIUS Lex. A S. 106, 23 Reitzenst. ἀναβήσομαι Δ.: ἐπανεξελεύσομαι 〈ἐπὶ τὰ〉 ἐξ ἀρχῆς.
145	PLUT. de puer. ed. 14 p. 9 F [vgl. A. 1 II 82, 14] λόγος γὰρ ἔργου σκι ή, κατὰ Δημόκριτον.
146	—de prof. in virt. 10 p. 81 A τὸν λόγον ἐντὸς ἤδη τρεφόμενον καὶ ῥιζούμενον ἐν ἑαυτῶι καὶ κατὰ Δημόκριτον αὐτὸν ἐξ ἑαυτοῦ τὰς τέρψιας ἐθιζόμενον λαμβάνει ν.
147	—de sanit. praec. 14 p. 129 A ἄτοπον γάρ ἐστι κοράκων μὲν λαρυγγισμοῖς καὶ κλωσμοῖς ἀλεκτορίδων καὶ συσὶν ἐπὶ φορυτῶι μαργαινούσαι ς, ὡς ἔφη Δ., ἐπιμελῶς προσέχειν σημεῖα ποιουμένους πνευμάτων καὶ ὄμβρων, τὰ δὲ τοῦ σώματος κινήματα καὶ σάλους καὶ προπαθείας μὴ προλαμβάνειν μηδὲ προφυλάττειν μηδὲ ἔχειν σημεῖα χειμῶνος ἐν ἑαυτῶι γενησομένου καὶ μέλλοντος. CLEM. Protr. 92, 4 (I 68, 7 St.) οἱ δὲ σκωλήκων δίκην περὶ τέλματα καὶ βορβόρους τὰ ἡδονῆς ῥεύματα καλινδούμενοι ἀνονήτους καὶ ἀνοήτους ἐκβόσκονται τρυφάς, ὑώδεις τινὲς ἄνθρωποι. ὕες γάρ, φησίν, ἥδονται βορβόρωι μᾶλλον ἢ καθαρῶι ὕδατι [vgl. 22 B 13. 37] καὶ ἐπὶ φορυτῶι μαργαίνουσιν κατὰ Δημόκριτον. Vgl. [THEOPHR.] de sign. 49 καὶ τὸ πανταχοῦ δὲ λεγόμενον σημεῖον δημόσιον χειμέριον, ὅταν σύες περὶ φορυτοῦ μάχωνται καὶ φύρωσιν. ARAT. 1123 σύες φορυτῶι ἔπι μαργαίνουσα ι. σύες ἐπὶ φορυτῶι μαργαίνουσιν.
148	—de amore prol. 3 p. 495 E ὅταν δὲ τὴν γονὴν ἀναλάβηι προσπεσοῦσαν ἡ ὑστέρα καὶ περιστείληι ῥιζώσεως γενομένης (‘ ὁ γὰρ ὀμφαλὸς πρῶτον ἐν μήτρηισι ν, ὥς φησι Δ., ἀγκυρηβόλιον σάλου καὶ πλάνης ἐμφύετα ι , πεῖσμα καὶ κλῆμα τῶι γεννωμένωι καρπῶι καὶ μέλλοντ ι) τοὺς μὲν ἐμμήνους καὶ καθαρσίους ἔκλεισεν ὀχετοὺς ἡ φύσις κτλ.
149	PLUT. Animine an corp. aff. 2 p. 500 D λέγωμεν οὖν ἐν ἡμῖν, ὅτι πολλὰ μέν, ὦ ἄνθρωπε, σοῦ καὶ τὸ σῶμα νοσήματα καὶ πάθη φύσει τε ἀνίησιν ἐξ ἑαυτοῦ καὶ προσπίπτοντα δέχεται θύραθεν· ἂν δὲ σαυτὸν ἀνοίξηις ἔνδοθεν, ποικίλον τι καὶ πολυπαθὲς κακῶν ταμιεῖον εὑρήσεις καὶ θησαύρισμ α, ὥς φησι Δ., οὐκ ἔξωθεν ἐπιρρεόντων, ἀλλ’ ὥσπερ ἐγγείους καὶ αὐτόχθονας πηγὰς ἐχόντων, ἃς ἀνίησιν ἡ κακία πολύχυτος καὶ δαψιλὴς οὖσα τοῖς πάθεσιν.
150	—Quaest. conv. I 1, 5 p. 614D E οὕτω τὰς ψυχὰς αἱ μὲν ἐλαφραὶ ζητήσεις ἐμμελῶς καὶ ὠφελίμως κινοῦσιν, ἐριδαντέων δὲ κατὰ Δημόκριτον καὶ ἱμαντελικτέων λόγους ἀφετέον.
151	— —II 10, 2 p. 643 F ἐν γὰρ ξυνῶι ἰχθύι ἄκανθαι οὐκ ἔνεισι ν, ὥς φησιν ὁ Δ.
152	— —IV 2, 4 p. 665 F τὸ κεραύνιον πῦρ ἀκριβείαι καὶ λεπτότητι θαυμαστόν ἐστιν, αὐτόθεν τε τὴν γένεσιν ἐκ καθαρᾶς καὶ ἁγνῆς ἔχον οὐσίας καὶ πᾶν εἴ τι συμμίγνυται νοτερὸν ἢ γεῶδες αὐτῶι τῆς περὶ τὴν κίνησιν ὀξύτητος ἀποσειομένης καὶ διακαθαιρούσης. ‘ διόβλητον μὲν οὐδέ ν, ὥς φησι Δ., 〈 οἷον μὴ τὸ〉 πα ρ ’ αἰθρίης στέγειν 〈εὐαγὲσ〉 σέλασ ‘.
153	—Reip. ger. praec. 28 p. 821 A τήν γ’ ἀληθινὴν τιμὴν καὶ χάριν ἱδρυμένην ἐν εὐνοίαι καὶ διαθέσει τῶν μεμνημένων οὐχ ὑπερόψεται πολιτικὸς ἀνήρ, οὐδέ γε δόξαν ἀτιμάσει φεύγων τὸ τοῖς πέλας ἁνδάνει ν, ὡς ἠξίου Δ. PHILOD. de adulat. pap. 1457 c. 10 [Crönert Kolot. S. 130] μᾶλλον δὲ καὶ τοῖς ἰδιώταις ἄνευ τῆς τοιαύτης ἀρεσκείας ὁρᾶται κατακτώμενα. Δημόκριτον μέντοι Νικασικράτης ἐπαινῶν κακίζοντα ἐπὶ 〈τῶι〉 τοῖς πέ [λ ]α [ς ] ἁνδάνειν ὡς ζη [ μιώδ η ] τὴν ἀρέσκειαν οὐκ οἶδ’ ὅπως ὁμολογεῖ τοῖς περὶ τὸν Ἐπίκουρον.
154	—de sollert. anim. 20 p. 974 A γελοῖοι δ’ ἴσως ἐσμὲν ἐπὶ τῶι μανθάνειν τὰ ζῶια σεμνύνοντες, ὧν ὁ Δ. ἀποφαίνει μαθητὰς ἐν τοῖς μεγίστοις γεγονότας ἡμᾶ ς · ἀράχνης ἐν ὑφαντικῆι καὶ ἀκεστικῆ ι , χελιδόνος ἐν οἰκοδομία ι , καὶ τῶν λιγυρῶ ν , κύκνου καὶ ἀηδόνο ς , ἐν ὠιδῆι κατὰ μίμησι ν.
155	—de commun. not. 39 p. 1079 E ἔτι τοίνυν ὅρα τίνα τρόπον ἀπήντησε [Chrysippos] Δημοκρίτωι διαποροῦντι φυσικῶς καὶ ἐπιτυχῶς· εἰ κῶνος τέμνοιτο παρὰ τὴν βάσιν ἐπιπέδω ι , τί χρὴ διανοεῖσθαι τὰς τῶν τμημάτων ἐπιφανεία ς , ἴσας ἢ ἀνίσους γιγνομένα ς ; ἄνισοι μὲν γὰρ οὖσαι τὸν κῶνον ἀνώμαλον παρέξουσι πολλὰς ἀποχαράξεις λαμβάνοντα βαθμοειδεῖς καὶ τραχύτητα ς , ἴσων δ ’ οὐσῶν ἴσα τμήματα ἔσται καὶ φανεῖται τὸ τοῦ κυλίνδρου πεπονθὼς ὁ κῶνο ς , ἐξ ἴσων συγκείμενος καὶ οὐκ ἀνίσων κύκλω ν , ὅπερ ἐστὶν ἀτοπώτατο ν.
155a	ARISTOT. de caelo Γ 8. 307a 17 Δημοκρίτωι δὲ καὶ ἡ σφαῖρα ὡς γωνία τις οὖσα τέμνει. SIMPL. de caelo p. 662, 10 ἔστι δὲ ... τὸ σφαιρικὸν ὅλον γωνία (Aristot. 307a 2)· εἰ γὰρ τὸ συγκεκαμμένον ἐστὶ γωνία, ἡ δὲ σφαῖρα καθ’ ὅλην ἑαυτὴν συγκέκαμπται, εἰκότως ὅλη γωνία λέγεται.
