Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 578.2	φωνήεντα
book 578.3	συλλαβὰς
book 578.4	τιθεὶς ἐξηῦρον ἀνθρώποισι γράμματ’ εἰδέναι, ὥστ’ οὐ παρόντα
book 578.5	ποντίας ὑπὲρ
book 578.6	πλακὸς[ln_5]τἀκεῖ κατ’ οἴκους πάντ’ ἐπίστασθαι καλῶς, παισίν τ’ ἀποθνῄσκοντα
book 578.7	χρημάτων μέτρον γράψαντας εἰπεῖν, τὸν λαβόντα δ’ εἰδέναι. ἃ δ’ εἰς ἔριν πίπτουσιν ἀνθρώποις κακὰ δέλτος διαιρεῖ, κοὐκ ἐᾷ ψευδῆ λέγειν.
book 579	πάλαι πάλαι δή ς’ ἐξερωτῆσαι θέλων, σχολή μ’ ἀπεῖργε
book 580.1	Ἀγάμεμνον, ἀνθρώποισι πᾶσιν αἱ τύχαι μορφὴν ἔχουσι, συντρέχει δ’ εἰς ἓν τόδε· τούτου δὲ πάντες, οἵ τε μουσικῆς φίλοι ὅσοι
book 580.2	τε χωρὶς ζῶσι, χρημάτων ὕπερ[ln_5]μοχθοῦσιν, ὃς δ’ ἂν
book 580.3	πλεῖστ’ ἔχῃ σοφώτατος.
book 581.1	στρατηλάται τἂν μυρίοι γενοίμεθα, σοφὸς δ’ ἂν εἷς
book 581.2	τις ἢ δύ’ ἐν μακρῷ χρόνῳ.
book 582.1	εἰ τῶν
book 582.2	πολιτῶν οἷσι νῦν
book 582.3	πιστεύομεν, τούτοις ἀπιστήσαιμεν, οἷς δ’ οὐ χρώμεθα, τούτοισι
book 582.4	χρησαίμεσθ’, ἴσως
book 582.5	σωθεῖμεν ἄν.
book 583	ὅστις λέγει μὲν εὖ, τὰ δ’ ἔργ’ ἐφ’ οἷς λέγει αἴσχρ’ ἐστί, τούτου τὸ σοφὸν οὐκ αἰνῶ ποτέ.
book 584.1	εἷς
book 584.2	τοι δίκαιος μυρίων οὐκ ἐνδίκων κρατεῖ τὸ θεῖον τὴν δίκην
book 584.3	τε συλλαβών.
book 585	τοῦ γὰρ δικαίου κἀν βροτοῖσι κἀν θεοῖς ἀθάνατος ἀεὶ δόξα διατελεῖ μόνου.
book 586	Θύσαν Διονύσου κόραν, ὃς ἀν’ Ἴδαν τέρπεται σὺν ματρὶ φίλᾳ τυμπάνων 〈ἐπ’〉 ἰαχαῖς
book 587.1	. . . κώπην
book 587.2	χρυσόκολλον
book 588	ἐκάνετ’ ἐκάνετε τὰν πάνσοφον, ὦ Δαναοί, τὰν οὐδέν’ ἀλγύνουσαν ἀηδόνα μουσᾶν.
book 590	ἔμβολα
book 591.1	ἐμοὶ πατρὶς μὲν Ἄργος, ὄνομα δ’ Ἡρακλῆς, θεῶν δὲ πάντων
book 591.2	πατρὸς ἐξέφυν Διός· ἐμῇ γὰρ ἦλθε μητρὶ κεδνὸν εἰς λέχος Ζεύς, ὡς λέλεκται τῆς ἀληθείας ὕπο.[ln_5]ἥκω δὲ δεῦρο
book 591.3	πρὸς βίαν Εὐρυσθέως.
book 592.1	ἵνα
book 592.2	πλημοχόας τάσδ’ εἰς
book 592.3	χθόνιον χάσμ’ εὐφήμως
book 592.4	προχέωμεν
book 593	σὲ τὸν αὐτοφυᾶ τὸν ἐν αἰθερίῳ ῥύμβῳ πάντων φύσιν ἐμπλέξανθ’, ὃν πέρι μὲν φῶς, πέρι δ’ ὀρφναία νὺξ αἰολόχρως, ἄκριτός τ’ ἄστρων[ln_5]ὄχλος ἐνδελεχῶς ἀμφιχορεύει
book 594.1	ἀκάμας
book 594.2	τε χρόνος
book 594.3	περί γ’ ἀενάῳ ῥεύματι
book 594.4	πλήρης
book 594.5	φοιτᾷ τίκτων αὐτὸς ἑαυτόν, δίδυμοί τ’ ἄρκτοι
book 594.6	ταῖς ὠκυπλάνοις
book 594.7	πτερύγων ῥιπαῖς[ln_5]τὸν Ἀτλάντειον
book 594.8	τηροῦσι πόλον
book 595	αἰδοῦς ἀχαλκεύτοισιν ἔζευκται πέδαις
book 596	οὐκ οὖν τὸ μὴ ζῆν κρεῖσσόν ἐστ’ ἢ ζῆν κακῶς;
book 597.1	τρόπος δὲ χρηστὸς ἀσφαλέστερος νόμου· τὸν μὲν γὰρ οὐδεὶς ἂν διαστρέψαι
book 597.2	ποτὲ λόγος δύναιτο, τὸν δ’ ἄνω
book 597.3	τε καὶ κάτω ῥήτωρ
book 597.4	σπαράσσων
book 597.5	πολλάκις λυμαίνεται.
book 598.1	ὁ πρῶτος εἰπὼν οὐκ ἀγυμνάστῳ φρενὶ ἔρριψεν ὅστις τόνδ’ ἐκαίνισεν λόγον, ὡς
book 598.2	τοῖσιν εὖ φρονοῦσι
book 598.3	συμμαχεῖ τύχη.
book 599	ἔφεξις
book 600	θρᾶξαι
book 601.1	Μήδεια
book 601.2	πρὸς μὲν δώμασιν
book 601.3	τυραννικοῖς
book 602.1	τί χρῆμα δράσας; φράζε μοι
book 602.2	σαφέστερον.
book 603.1	αἰνῶ· διδάξαι δ’ ὦ τέκνον
book 603.2	σε βούλομαι. ὅταν μὲν ᾖς
book 603.3	παῖς, μὴ πλέον
book 603.4	παιδὸς
book 603.5	φρονεῖν, ἐν
book 603.6	παρθένοις δὲ παρθένου
book 603.7	τρόπους ἔχειν, ὅταν δ’ ὑπ’ ἀνδρὸς
book 603.8	χλαῖναν εὐγενοῦς πέσῃς,[ln_4]. . . . . . . . . . . .[ln_5]τὰ δ’ ἄλλ’ ἀφεῖναι μηχανήματ’ ἀνδράσιν.
book 604.1	πρὸς κέντρα μὴ λάκτιζε
book 604.2	τοῖς κρατοῦσί σου.
book 605.1	τὸ δ’ ἔσχατον δὴ τοῦτο θαυμαστὸν βροτοῖς
book 605.2	τυραννίς, οὐχ εὕροις ἂν ἀθλιώτερον. φίλους
book 605.3	τε πορθεῖν καὶ κατακτανεῖν
book 605.4	χρεών, πλεῖστος φόβος
book 605.5	πρόσεστι μὴ δράσωσί τι.
book 606.1	οὐκ ἔστι τὰ θεῶν ἄδικ’, ἐν ἀνθρώποισι δὲ κακοῖς νοσοῦντα σύγχυσιν
book 606.2	πολλὴν ἔχει.
book 607	ὁρῶσι δ’ οἱ διδόντες εἰς τὰ χρήματα.
book 608.1	ἐν
book 608.2	τοῖσι μὲν δεινοῖσιν ὡς φίλοι φίλων· ὅταν δὲ πράξως’ εὖ, διωθοῦνται χάριν αὐτοὶ δι’ αὑτοὺς εὐτυχεῖν ἡγούμενοι.
book 609.1	ὁ γὰρ ξυνὼν κακὸς μὲν ἢν τύχῃ γεγώς, τοιούσδε
book 609.2	τοὺς ξυνόντας ἐκπαιδεύεται, χρηστοὺς δὲ χρηστός· ἀλλὰ τὰς ὁμιλίας ἐσθλὰς διώκειν, ὦ νέοι, σπουδάζετε.
book 610	φθείρου· τὸ γὰρ δρᾶν οὐκ ἔχων λόγους ἔχεις.
book 611	ἀντεμμάσασθαι
book 612	ἀρταμεῖν
book 613	εὐστόχως
book 614	κατηβολή
book 615	λύσιμον
book 616	ὄβρια
book 617.1	οὐκ ἔστιν ἀνθρώποισι
book 617.2	τοιοῦτος
book 617.3	σκότος, οὐ χῶμα γαίας κλῃστόν, ἔνθα τὴν φύσιν ὁ δυσγενὴς κρύψας ἂν εἴη
book 617.4	σοφός.
book 618	τὸν ὄλβον οὐδὲν οὐδαμοῦ κρίνω βροτοῖς, ὅν γ’ ἐξαλείφει ῥᾷον ἢ γραφὴν θεός.
book 619.1	τὸ γῆρας, ὦ παῖ, τῶν νεωτέρων
book 619.2	φρενῶν
book 619.3	σοφώτερον πέφυκε κἀσφαλέστερον, ἐμπειρία
book 619.4	τε τῆς ἀπειρίας κρατεῖ.
book 620.1	κλύετ’ ὦ μοῖραι Διὸς αἵ τε
book 620.2	παρὰ θρόνον ἀγχοτάτω θεῶν ἑζόμεναι
book 621.1	. . τὰ δ’ ἔνθεν οὐκέτ’ ἂν
book 621.2	φράσαι λόγῳ δακρύων δυναίμην
book 621.3	χωρίς
book 622.1	πάρεσμεν, ἀλλ’ οὐκ ᾐσθάνου
book 622.2	παρόντα με.
book 623	βοάσομαί τἄρα τὰν ὑπέρτονον βοάν· ἰώ, πύλαισιν ἤ τις ἐν δόμοις;
book 624	ἀρκεῖ
book 625.1	οὐ τὸν σὸν ἔκταν
book 625.2	πατέρα, πολέμιόν γε μήν.
book 626.1	δήμῳ δὲ μήτε πᾶν ἀναρτήσῃς κράτος μήτ’ αὖ κακώσῃς, πλοῦτον ἔντιμον
book 626.2	τιθείς, μηδ’ ἄνδρα δήμῳ πιστὸν ἐκβάλῃς
book 626.3	ποτὲ μηδ’ αὖξε καιροῦ μείζον’, οὐ γὰρ ἀσφαλές,[ln_5]μή σοι τύραννος λαμπρὸς ἐξ ἀστοῦ φανῇ. κόλουε δ’ ἄνδρα
book 626.4	παρὰ δίκην
book 626.5	τιμώμενον· πόλει γὰρ εὐτυχοῦντες οἱ κακοὶ νόσος.
book 627.1	εἰσὶν γὰρ εἰσὶ διφθέραι μελεγγραφεῖς
book 627.2	πολλῶν γέμουσαι Λοξίου γηρυμάτων
book 628	μηλοσφαγεῖ τε δαιμόνων ἐπ’ ἐσχάραις
book 629	. . . καὶ κάταιθε χὥτι λῇς πόει.
book 630	ἐγὼ δὲ Σαρδιανός, οὐκέτ’ Ἀργόλας
book 631.1	πολὺς δὲ κοσσάβων ἀραγμὸς Κύπριδος
book 631.2	προσῳδὸν ἀχεῖ μέλος ἐν δόμοισιν.
book 632	πολλῶν τὰ χρήματ’ αἴτι’ ἀνθρώποις κακῶν.
book 633	μόμφος
book 634.1	ὅστις νέμει κάλλιστα τὴν αὑτοῦ φύσιν, οὗτος
book 634.2	σοφὸς πέφυκε
book 634.3	πρὸς τὸ συμφέρον.
book 635.1	οἱ τὰς τέχνας δ’ ἔχοντες ἀθλιώτεροι τῆς
book 635.2	φαυλότητος καὶ γὰρ ἐν κοινῷ ψέγειν ἅπασι κεῖσθαι δυστυχὲς κοὐκ εὐτυχές.
book 636.1	ἔα ἔα· ὁρῶ γ’ ἐπ’ ἀκταῖς νομάδα κυματοφθόρον ἁλιαίετον· τὸν
book 636.2	παῖδα
book 636.3	χερσεύειν μόρος. εἰ μὲν γὰρ ἐκ γῆς εἰς θάλασσαν ἔπτατο[ln_5]ὁ κύματ’ οἰκῶν ὄρνις, ἡρμήνευσεν ἂν τὸν
book 636.4	παῖδ’ ἐν ὑγροῖς κύμασιν
book 636.5	τεθνηκέναι· νῦν δ’ ἐκλιπὼν ἤθη
book 636.6	τε καὶ νομὸν βίου δεῦρ’ ἔπτατ’· οὐκ οὖν ἔσθ’ ὁ παῖς ἐν οἴδμασιν.
book 637.1	φεῦ φεῦ, τὸ γῆρας ὡς ἔχει
book 637.2	πολλὰς νόσους.
book 638	τίς δ’ οἶδεν εἰ τὸ ζῆν μέν ἐστι κατθανεῖν, τὸ κατθανεῖν δὲ ζῆν κάτω νομίζεται;
book 639	μάτην γὰρ οἴκῳ σὸν τόδ’ ἐκβαίη τέλος
book 640.1	... ἀνθρώπων δὲ μαίνονται
book 640.2	φρένες, δαπάνας ὅταν θανοῦσι πέμπωσιν κενάς.
book 641	πλουτεῖς, τὰ δ’ ἄλλα μὴ δόκει ξυνιέναι· ἐν τῷ γὰρ ὄλβῳ φαυλότης ἔνεστί τις, πενία δὲ σοφίαν ἔλαχε διὰ τὸ συγγενές.
book 642.1	οὐ γὰρ
book 642.2	παρὰ κρατῆρα καὶ θοίνην μόνον τὰ χρήματ’ ἀνθρώποισιν ἡδονὰς ἔχει, ἀλλ’ ἐν κακοῖσι δύναμιν οὐ μικρὰν φέρει.
book 643	βαρὺ τὸ φόρημ’ οἴησις ἀνθρώπου κακοῦ.
book 644.1	ὅταν κακός
book 644.2	τις ἐν πόλει
book 644.3	πράσσῃ καλῶς, νοσεῖν τίθησι τὰς ἀμεινόνων
book 644.4	φρένας, παράδειγμ’ ἐχόντων τὴν κακῶν ἐξουσίαν.
book 645.1	συγγνώμονάς
book 645.2	τοι
book 645.3	τοὺς θεοὺς εἶναι δόκει, ὅταν
book 645.4	τις ὅρκῳ θάνατον ἐκφυγεῖν θέλῃ ἢ δεσμὸν ἢ βίαια
book 645.5	πολεμίων κακά, ἢ παισὶν αὐθένταισι κοινωνῇ δόμων.[ln_5]ἤτἄρα θνητῶν εἰσιν ἀσυνετώτεροι ἢ τἀπιεικῆ πρόσθεν ἡγοῦνται δίκης.
book 646	διαβάλλω
book 647.1	ἄξιος δ’ ἐμὸς γαμβρὸς κέκλησαι
book 647.2	παῖδά μοι ξυνοικίσας.
book 648	οὐ γὰρ θέμις βέβηλον ἅπτεσθαι δόμων
book 649	πέπονθεν οἷα καὶ σὲ καὶ πάντας μένει.
book 650.1	πόλλ’ ἐλπίδες
book 650.2	ψεύδουσι καὶ λόγοι βροτούς.
book 651	οὐ θαῦμ’ ἔλεξας θνητὸν ὄντα δυστυχεῖν.
book 652.1	ὦ παῖδες οἷον φίλτρον ἀνθρώποις
book 652.2	φρενός
book 653.1	κοινὸν γὰρ εἶναι
book 653.2	χρῆν γυναικεῖον λέχος.
book 654.1	δυοῖν λεγόντοιν, θατέρου θυμουμένου, ὁ μὴ ἀντιτείνων
book 654.2	τοῖς λόγοις
book 654.3	σοφώτερος.
book 655.1	οὐκ ἂν
book 655.2	προδοίην καίπερ ἄψυχον φίλον.
book 656.1	..σα λαιμὸν ἢ πεσοῦς’ ἀπ’ ἰσθμίου κευθμῶνα
book 656.2	πηγαῖον ὕδωρ
book 657.1	ὅστις δὲ πάσας
book 657.2	συντιθεὶς ψέγει λόγῳ γυναῖκας ἑξῆς, σκαιός ἐστι κοὐ σοφός· πολλῶν γὰρ οὐσῶν τὴν μὲν εὑρήσεις κακήν, τὴν δ’ ὥσπερ αὕτη λῆμ’ ἔχουσαν εὐγενές.
book 658.1	οἳ γῆν ἔχους’ Εὐβοΐδα
book 658.2	πρόσχωρον πόλιν
book 659.1	ἔρωτες ἡμῖν εἰσὶ παντοῖοι βίου· ὃ μὲν γὰρ εὐγένειαν ἱμείρει λαβεῖν, τῷ δ’ οὐχὶ τούτου
book 659.2	φροντίς, ἀλλὰ χρημάτων
book 659.3	πολλῶν κεκλῆσθαι βούλεται πάτωρ δόμοις·[ln_5]ἄλλῳ δ’ ἀρέσκει μηδὲν ὑγιὲς ἐκ
book 659.4	φρενῶν λέγοντι
book 659.5	πείθειν
book 659.6	τοὺς πέλας τόλμῃ κακῇ· οἳ δ’ αἰσχρὰ κέρδη
book 659.7	πρόσθε
book 659.8	τοῦ καλοῦ βροτῶν ζητοῦσιν· οὕτω βίοτος ἀνθρώπων
book 659.9	πλάνη. ἐγὼ δὲ τούτων οὐδενὸς
book 659.10	χρῄζω
book 659.11	τυχεῖν,[ln_10]δόξαν 〈δὲ〉 βουλοίμην ἂν εὐκλείας ἔχειν.
book 660	οὐδεὶς γὰρ ἡμᾶς 〈ὅστισ〉 ἐξαιρήσεται.
book 661.1	Οὐκ ἔστιν ὅστις πάντ’ ἀνὴρ εὐδαιμονεῖ· ἢ γὰρ
book 661.2	πεφυκὼς ἐσθλὸς οὐκ ἔχει βίον, ἢ δυσγενὴς ὢν
book 661.3	πλουσίαν ἀροῖ πλάκα.
book 662	πολλοὺς δὲ πλούτῳ καὶ γένει γαυρουμένους γυνὴ κατῄσχυν’ ἐν δόμοισι νηπία.
book 663	ποιητὴν δ’ ἄρα Ἔρως διδάσκει, κἂν ἄμουσος ᾖ τὸ πρίν.
book 664.1	πεσὸν δέ νιν λέληθεν οὐδὲν ἐκ
book 664.2	χερός, ἀλλ’ εὐθὺς αὐδᾷ ‘τῷ Κορινθίῳ ξένῳ‘.
book 665.1	τοιαῦτ’ ἀλύει· νουθετούμενος δ’ ἔρως μᾶλλον
book 665.2	πιέζει
book 666.1	ὦ παγκακίστη καὶ γυνή· τί γὰρ λέγων μεῖζόν
book 666.2	σε τοῦδ’ ὄνειδος ἐξείποι
book 666.3	τις ἄν;
book 667.1	τίς ἄνδρα
book 667.2	τιμᾷ ξεναπάτην;
book 668	ἄνευ τύχης γάρ, ὥσπερ ἡ παροιμία, πόνος μονωθεὶς οὐκέτ’ ἀλγύνει βροτούς.
book 669.1	πέλας δὲ ταύτης δεινὸς ἵδρυται Κράγος ἔνθηρος, ᾗ λῃστῆρσι
book 669.2	φρουρεῖται .. κλύδωνι δεινῷ καὶ βροτοστόνῳ βρέμει
book 669.3	πτηνὸς
book 669.4	πορεύσει
book 670.1	βίος δὲ πορφυροῦς θαλάσσιος οὐκ εὐτράπεζος, ἀλλ’ ἐπάκτιοι φάτναι. ὑγρὰ δὲ μήτηρ, οὐ πεδοστιβὴς
book 670.2	τροφὸς θάλασσα· τήνδ’ ἀροῦμεν, ἐκ
book 670.3	ταύτης βίος[ln_5]βρόχοισι καὶ πέδαισιν οἴκαδ’ ἔρχεται.
book 671	κομίζετ’ εἴσω τήνδε· πιστεύειν δὲ χρὴ γυναικὶ μηδὲν ὅστις εὖ φρονεῖ βροτῶν.
book 672	ὁ δ’ εἰς τὸ σῶφρον ἐπ’ ἀρετήν τ’ ἄγων ἔρως ζηλωτὸς ἀνθρώποισιν· ὧν εἴην ἐγώ.
book 673.1	χαίρω σέ τ’, ὦ βέλτιστον Ἀλκμήνης τέκος, ... τόν
book 673.2	τε μιαρὸν ἐξολωλότα.
book 674	ἑλίσσων
book 675.1	καὶ τὰς μὲν ἄξῃ, πῶλον ἢν διδῷς ἕνα, τὰς δ’ ἢν ξυνωρίδ’· αἳ δὲ κἀπὶ τεσσάρων
book 675.2	φοιτῶσιν ἵππων ἀργυρῶν. φιλοῦσι δὲ τὸν ἐξ Ἀθηνῶν
book 675.3	παρθένους ὅταν φέρῃ[ln_5]πολλάς
book 676.1	σχεδὸν
book 676.2	χαμεύνῃ σύμμετρος Κορινθίας
book 676.3	παιδός, κνεφάλλου δ’ οὐχ ὑπερτείνεις πόδα.
book 677	οὐδὲ κωλῆνες νεβρῶν
book 678.1	ἔστι
book 678.2	τοι καλὸν κακοὺς κολάζειν
book 679	ἢ προσπηγνύναι κράδαις ἐριναῖς
book 680	ἁμαρτεῖν
book 681	ἔμβολα
book 682.1	[spk_〈λυκ.〉]ἡ παῖς νοσεῖ σου κἀπικινδύνως ἔχει. 〈ΛΥΚ.〉 πρὸς
book 682.2	τοῦ; τίς αὐτὴν
book 682.3	πημονὴ δαμάζεται; μῶν κρυμὸς αὐτῆς
book 682.4	πλευρὰ γυμνάζει
book 682.5	χολῆς;
book 683	σοφοὶ δὲ συγκρύπτουσιν οἰκείας βλάβας.
book 684	φεῦ, τῶν βροτείων ὡς ἀνώμαλοι τύχαι. οἳ μὲν γὰρ εὖ πράσσουσι, τοῖς δὲ συμφοραὶ σκληραὶ πάρεισιν εὐσεβοῦσιν εἰς θεούς, καὶ πάντ’ ἀκριβῶς κἀπὶ φροντίδων βίον[ln_5]οὕτω δικαίως ζῶσιν αἰσχύνης ἄτερ.
book 685	ζεύγλας
book 686	παρασάγγης
book 687	πίμπρη, κάταιθε σάρκας, ἐμπλήσθητί μου πίνων κελαινὸν αἷμα· πρόσθε γὰρ κάτω γῆς εἶσιν ἄστρα, γῆ δ’ ἄνεις’ ἐς αἰθέρα, πρὶν ἐξ ἐμοῦ σοι θῶπ’ ἀπαντῆσαι λόγον.
book 688.1	ἥκιστα
book 688.2	φαῦλος, ἀλλὰ πᾶν
book 688.3	τοὐναντίον· τὸ σχῆμα
book 688.4	σεμνὸς κοὐ ταπεινὸς οὐδ’ ἄγαν εὔογκος ὡς ἂν δοῦλος, ἀλλὰ καὶ στολὴν ἰδόντι λαμπρὸς καὶ ξύλῳ δραστήριος.
book 689.1	οὐδεὶς δ’ ἐς οἴκους δεσπότας ἀμείνονας αὑτοῦ πρίασθαι βούλεται· σὲ δ’ εἰσορῶν πᾶς
book 689.2	τις δέδοικεν. ὄμμα γὰρ
book 689.3	πυρὸς γέμεις, ταῦρος λέοντος ὡς βλέπων
book 689.4	πρὸς ἐμβολήν.
book 690	τό γ’ εἶδος αὐτὸ σοῦ κατηγορεῖ σιγῶντος ὡς εἴης ἂν οὐχ ὑπήκοος, τάσσειν δὲ μᾶλλον ἢ ἐπιτάσσεσθαι θέλοις.
book 691.1	κλίθητι καὶ πίωμεν· ἐν
book 691.2	τούτῳ δέ μου τὴν
book 691.3	πεῖραν εὐθὺς λάμβαν’ εἰ κρείσσων ἔσῃ.
book 692.1	τοῖς μὲν δικαίοις ἔνδικος, τοῖς δ’ αὖ κακοῖς πάντων μέγιστος
book 692.2	πολέμιος κατὰ χθόνα.
book 693.1	εἶα δή, [φίλον] ξύλον, ἔγειρέ μοι
book 693.2	σεαυτὸ καὶ γίγνου θρασύ.
book 694	βαυβῶμεν εἰσελθόντες· ἀπόμορξαι σέθεν τὰ δάκρυα.
book 695	[ln_1]φεῦ, οὐδὲν δίκαιόν ἐστιν ἐν τῷ νῦν γένει.
book 696.1	Ὦ γαῖα
book 696.2	πατρίς, ἣν Πέλοψ ὁρίζεται, χαῖρ’, ὅς
book 696.3	τε πέτρον Ἀρκάδων δυσχείμερον 〈Πὰν〉 ἐμβατεύεις, ἔνθεν εὔχομαι γένος. Αὔγη γὰρ Ἀλέου
book 696.4	παῖς με τῷ Τιρυνθίῳ[ln_5]τίκτει λαθραίως Ἡρακλεῖ· ξύνοιδ’ ὄρος
book 696.5	Παρθένιον, ἔνθα μητέρ’ ὠδίνων ἐμὴν ἔλυσεν Εἰλείθυια.
book 697	πτώχ’ ἀμφίβληστρα σώματος λαβὼν ῥάκη ἀλκτήρια τύχης
book 698.1	δεῖ γάρ με δόξαι
book 698.2	πτωχὸν [εἶναι τήμερον], εἶναι μὲν ὅσπερ εἰμί, φαίνεσθαι δὲ μή.
book 699.1	ἄνασσα
book 699.2	πράγους
book 699.3	τοῦδε καὶ βουλεύματος
book 700	ὦ Φοῖβ’ Ἄπολλον Λύκιε, τί ποτέ μ’ ἐργάσῃ;
book 701.1	μοχθεῖν ἀνάγκη
book 701.2	τοὺς θέλοντας εὐτυχεῖν.
book 702.1	τόλμα σὺ κἄν
book 702.2	τι τραχὺ νείμωσιν θεοί.
book 703.1	μή μοι
book 703.2	φθονήσητ’, ἄνδρες Ἑλλήνων ἄκροι, εἰ πτωχὸς ὢν τέτληκ’ ἐν ἐσθλοῖσιν λέγειν.
book 704.1	οἶδ’ ἄνδρα Μυσὸν Τήλεφον .. εἴτε δὲ Μυσὸς 〈γεγὼσ〉 ἦν εἴτε κἄλλοθέν
book 704.2	ποθεν, πῶς .... Τήλεφος γνωρίζεται;
book 705.1	κώπης ἀνάσσων κἀποβὰς εἰς Μυσίαν ἐτραυματίσθην
book 705.2	πολεμίῳ βραχίονι.
book 706.1	Ἀγάμεμνον, οὐδ’ εἰ πέλεκυν ἐν
book 706.2	χεροῖν ἔχων μέλλοι
book 706.3	τις εἰς
book 706.4	τράχηλον ἐμβαλεῖν ἐμόν, σιγήσομαι δίκαιά γ’ ἀντειπεῖν ἔχων.
book 707	καλῶς ἔχοι μοι· Τηλέφῳ δ’ ἁγὼ φρονῶ
book 708	ἐρεῖ τις, οὐ χρῆν· ἀλλὰ τί ἐχρῆν εἴπατε.
book 709	καθῆσθ’ ἂν ἐν δόμοισιν; ἦ πολλοῦ γε δεῖ.
book 710	τὸν δὲ Τήλεφον οὐκ οἰόμεσθα; νοῦς ἄρ’ ὑμῖν οὐκ ἔνι.
book 711.1	εἶτα δὴ θυμούμεθα
book 711.2	παθόντες οὐδὲν μεῖζον ἢ δεδρακότες;
book 712	ἅπασαν ἡμῶν τὴν πόλιν κακορροθεῖ
book 713	ὦ πόλις Ἄργους, κλύεθ’ οἷα λέγει
book 714.1	τί γάρ με
book 714.2	πλοῦτος ὠφελεῖ νόσον; σμίκρ’ ἂν θέλοιμι καὶ καθ’ ἡμέραν ἔχων ἄλυπος οἰκεῖν μᾶλλον ἢ πλουτῶν νοσεῖν.
book 715.1	οὔ τἄρ’ Ὀδυσσεύς ἐστιν αἱμύλος μόνος· χρεία διδάσκει, κἂν βραδύς
book 715.2	τις ᾖ, σοφόν.
book 716.1	σὺ δ’ εἶκ’ ἀνάγκῃ καὶ θεοῖσι μὴ μάχου· τόλμα δὲ προσβλέπειν με καὶ φρονήματος χάλα. τά τοι μέγιστα
book 716.2	πολλάκις θεὸς
book 716.3	ταπείν’ ἔθηκε καὶ συνέστειλεν πάλιν.
book 717.1	τί δ’, ὦ τάλας; σὺ τῷδε
book 717.2	πείθεσθαι μέλλεις;
book 718.1	ὥρα
book 718.2	σε θυμοῦ κρείσσονα γνώμην ἔχειν.
book 719	Ἕλληνες ὄντες βαρβάροις δουλεύσομεν;
book 720	κακῶς ὀλοίατ’· ἄξιον γὰρ Ἑλλάδι.
book 721.1	κακός τίς ἐστι
book 721.2	προξένῳ σοὶ χρώμενος.
book 722.1	ἴθ’ ὅποι
book 722.2	χρῄζεις· οὐκ ἀπολοῦμαι τῆς σῆς Ἑλένης εἵνεκα
book 723	Σπάρτην ἔλαχες, κείνην κόσμει· τὰς δὲ Μυκήνας ἡμεῖς ἰδίᾳ.
book 724	πριστοῖσι λόγχης θέλγεται ῥινήμασιν
book 725	λοχαῖον σῖτον
book 726	ψυκτήρ
book 727	ἀπέπτυς’ ἐχθροῦ φωτὸς ἔχθιστον τέκος.
book 728.1	. . φιλεῖ τοι πόλεμος οὐ πάντων
book 728.2	τυχεῖν, ἐσθλῶν δὲ χαίρει
book 728.3	πτώμασιν νεανιῶν, κακοὺς δὲ μισεῖ. τῇ πόλει μὲν οὖν νόσος τόδ’ ἐστί, τοῖς δὲ κατθανοῦσιν εὐκλεές.
book 729.1	εἰκὸς δὲ παντὶ καὶ λόγῳ καὶ μηχανῇ πατρίδος ἐρῶντας ἐκπονεῖν
book 729.2	σωτηρίαν.
book 730.1	ἅπασα
book 730.2	Πελοπόννησος εὐτυχεῖ πόλις.
book 731.1	οὐκ ἔστι κρεῖσσον ἄλλο
book 731.2	πλὴν κρατεῖν δορί.
book 732.1	ῥώμη δέ τ’ ἀμαθὴς
book 732.2	πολλάκις τίκτει βλάβην.
