Works of Libanius
Ἔργα Λιβανίου
by Libanius of Antioch
eul_wid: swk-ah    eul_aid: swk

Period   Late Antique
Dialect  Atticizing
Domain   Oratory
Format   Oration

The surviving works of Libanius of Antioch constitute one of the most extensive and significant literary corpora from a single author in Late Antiquity. Composed in refined Attic Greek during the mid-to-late fourth century CE, the collection encompasses sixty-four orations, fifty-one declamations, a substantial body of preliminary rhetorical exercises known as progymnasmata, and over fifteen hundred letters. The orations demonstrate remarkable variety, ranging from formal panegyrics celebrating cities to autobiographical accounts, judicial speeches, and direct political appeals to imperial authorities. His extensive epistolary collection offers an unparalleled view into the intricate social, professional, and intellectual networks of the period.

Operating from Antioch, a major cultural and administrative hub of the Eastern Roman Empire, Libanius wrote as a devoted adherent of traditional Hellenic religion and a master teacher of rhetoric. His works functioned both as pedagogical models for his renowned school of rhetoric and as active engagements with the profound political and religious transformations of his era. Modern scholarship interprets his prolific output as a sustained, sophisticated defense of classical Greek paideia—the system of education and civic values—against the rising cultural and institutional dominance of Christianity. Numerous orations address contemporary events with directness, such as advocating for the interests of Antioch or expressing support for the policies of the pagan emperor Julian.

The texts survive in a notably complete state, a testament to Libanius's enduring reputation as a preeminent stylistic model throughout the Byzantine educational tradition. A complex manuscript tradition has preserved the majority of his orations and declamations. The vast corpus of letters, while immense, is generally considered a curated selection from an originally even larger body of personal and professional correspondence.

Text
----

1	*Epist. 1–839: vol. 10 Κλεάρχῳ.
Ep 949 3	καὶ ἴσως μὲν ὁ πόνος οὐ περί τι γενναῖον, ἐκίνει δὲ ὅμως τὴν νεότητα τῷ καὶ περὶ τοιαῦτα πονεῖν καὶ ταῦτα μετά τε ἀρχὴν καὶ ζώνας καὶ κήρυκας καὶ τοσούτων ἐθνῶν ἐπιμελείας. ἐπεγείρας δὲ πρὸς ἀρετὴν ἰδιώτας καὶ ὅσα χρῆν ἄρχοντας ἀκοῦσαι διῆλθεν εἰδὼς μὲν οὐ λίαν ὀνήσων, προσήκειν δὲ αὑτῷ καὶ οὕτως εἰπεῖν ἡγούμενος. τιμὴν δέ, ᾗ τετίμηται παρὰ τῆς ἡμετέρας, εἰ σιωπήσαιμι, κακὸς ἂν εἰς αὐτὴν εἴην.
Ep 949 4	κατεβόησαν ὅσοι ταύτην ἔχουσι πάντων θεῶν, ὅτι μὴ μετ’ ἀρχῆς ἡμῖν δεῦρο τὸν Κελσῖνον ἤγαγον μηδ’ ἔδοσαν ἀφ’ ὧν ἂν ἦμεν εὐδαίμονες. ὥρα δή σοι μεγαλαυχεῖσθαι τοιοῦτον ἁρπάσαντι κηδεστήν.
Ep 950 t	Στρατηγίῳ. Εἰκὸς μέν τι πέπονθας καὶ τῷ μεγέθει Ῥώμης γοητευθεὶς καὶ νῦν ἡδόμενος τοῖς τῆς Ἑλλάδος καλοῖς· ἃ γὰρ οὐκ ἰδεῖν ζημία πολλή, ταῦθ’ ὁρᾶν κέρδος μέγα.
Ep 950 2	ἀλλ’ αὐτοὶ καὶ παρ’ αὐτῶν τῶν Ἑλλήνων ἀκηκόαμεν τὴν ἐνεγκοῦσαν τίμιόν τι νομίζειν καὶ μηδὲ θάνατον φεύγειν τὸν ὑπὲρ τῆς πατρίδος. σὲ δὲ ὅπλα μὲν οὐδὲν ἂν δέοι λαβεῖν καὶ συμπεσόντα μάχεσθαι καὶ πάσχειν ὅ τι ἂν ὁ πόλεμος ἐθέλῃ, βουληθῆναι δὲ τοσοῦτον, ἰδεῖν τήν τε σαυτοῦ καὶ τοὺς σεαυτοῦ πολὺν δή τινα χρόνον ἐστερημένους τῶν παρὰ σοῦ. καὶ μήτοι νομίσῃς ὅτι προσθήσω καὶ ἐμαυτόν· πάλαι γὰρ αἰσθάνομαι καταπεφρονημένος.
Ep 950 3	εἰ γὰρ μὴ τοῦτο τοιοῦτον ἦν, κἂν ἐπέστειλας. νῦν δὲ ἡ σιγή με διδάσκει τὸ μηδὲ μικρὸν εἶναι λόγον παρὰ σοὶ περὶ ἡμῶν, καὶ δή μοι δοκεῖς οὐδ’ ἐρήσεσθαι τὸν θαυμαστὸν Ἱλάριον, τί δρῶμεν ἢ πάσχομεν. ὁ δὲ καὶ πρὸς οὐ βουλόμενον ἀκούειν ἐρεῖ περὶ ἀμφοῖν ἡδέως μέν, ἡνίκα παρῆν, συνών, ἡδέως δὲ καὶ ἀπὼν ἐν μνήμῃ τῇ περὶ ἡμῶν διατρίβων.
Ep 951 t	Θαλασσίῳ. Λέγε Καλλιοπίῳ μὴ κακῶς τὸ ἔαρ λέγειν ὡς ἄγον τῇ Ῥώμῃ τῶν ἡμετέρων νέων διὰ θαλάττης τινάς.
Ep 951 1	οὐ γὰρ ἐγὼ τοῦθ’ ὅ φησι ποιῶ τὸ κακὸν οὐδ’ ὑβρίζω μὲν τὴν Ἑλλάδα φωνήν, κοσμῶ δὲ τὴν Ἰταλῶν, οὐδ’ ἂν εἴποι πατὴρ οὐδεὶς τοιοῦτον αὑτῷ τί με συμβεβουλευκέναι. ἀλλ’ ἔστι ταῦτα ἀνοίας ἐλπιζούσης ἃ μάλιστα βούλεται.
Ep 951 2	νοῦς δὲ εἴ σφισιν ἐνῆν, ἐδέχοντ’ ἂν τὴν ἀπὸ τῶν πραγμάτων παραίνεσιν. ἡ δ’ ἐστὶν ἐξετάζειν τοὺς ἀποδοθέντας πολλαῖς πόλεσιν παρ’ ἐκείνης τοὺς οὐ πολλῷ τῶν βοσκημάτων διαφέροντας. Πρόκλῳ.
Ep 952 1	Δομνῖνος ὁ Λαρισσαῖος ἀνὴρ ἀγαθὸς γενόμενος ἔν τε δίκαις καὶ ἀρχῇ πρὸ λειτουργίας τῆς παρ’ ὑμῖν ἀπῆλθε τὸν παῖδα τοῦτον ἡμῖν παραδούς, ὅπως δύναιτο λέγειν. ἔδει μὲν οὖν ζῶντα ἐκεῖνον ἢ λειτουργεῖν ἢ πείθειν ὑμᾶς ὡς οὐκ ἂν δύναιτο χρημάτων οὐκ ὄντων αὑτῷ· τετελευτηκότος δὲ Δομνίνου, τοῦ παιδὸς δὲ εἰς ἃ μὴ ἐκεῖνος ἑλκομένου, σαφὲς γὰρ δὴ τοῦτό γε, δεόμεθα πάντες οἱ Δομνίνου φίλοι δέξασθαι τὴν μεγάλην βουλὴν παρὰ τῆς σῆς διανοίας τῆς καὶ αὐτῆς μεγάλης λόγους τινὰς τῷ νέῳ βοηθοῦντας.
Ep 952 2	πρέποι γὰρ ἂν τά γε τοιαῦτα σοὶ μὲν πείθειν, ἐκείνῃ δὲ πείθεσθαι. Εὐσεβίῳ.
Ep 953 1	Ἡμεῖς ἐν τῷ δακρύειν ἔτι τὸν φίλον ἡμῶν Ὀλύμπιον. ἔδει δέ με κἀν τούτοις ὄντα μὴ περιιδεῖν ἀπολλύμενον νέον καὶ φίλου παῖδα καὶ ὁμιλητὴν ἐμόν. τοῦτον μὲν οὖν νῦν πρῶτον ὄψει· Δομνῖνον δὲ τὸν πατέρα αὐτοῦ πολλάκις, ἐμοὶ δοκεῖν, 〈εἶδεσ〉 καὶ οὐκ εἶδές γε μόνον, ἀλλὰ καὶ ἐπῄνεσας ὄντα ἄριστον, ὃ σὺ πανταχοῦ ποιεῖς.
Ep 953 3	τῷ τοίνυν ἐκείνου παιδὶ καλὸν σὲ γενέσθαι βοηθὸν εἰπόντα τι τοιοῦτον πρὸς τὸν γενναῖον Πρόκλον, ὃ κωλύσει τῷδε διαφθαρῆναι τὸν οἶκον. Ἀρχελάῳ.
Ep 954 1	Ἐν τοῖς περὶ σοῦ λόγοις διατριβόντων ἡμῶν, οἱ δὲ ἦσαν ἔπαινοι τῶν σῶν τρόπων, ἐπεισέρχεται γράμματα σὰ πεμφθέντα μὲν πρὸς Ἡράκλειον τὸν ἰατρόν, μνήμῃ δέ τινι καὶ ἐμὲ τιμῶντα. τοῦ τοίνυν Ἡρακλείου τὴν ἐπιστολὴν ἀναγνόντος ἔχαιρον μὲν αὐτός, συνέχαιρον δὲ ἡμῖν οἱ φίλοι τοιοῦτον κεκτημένοι σύμμαχον, ὃς μισῶν τε μέγιστα ἂν λυπήσαι καὶ φιλῶν μάλιστα ἂν ὀνήσαι· ἐπεὶ καὶ νῦν μοι δοκεῖς πολλοὺς εἰς τὸ λέγειν τι καλὸν περὶ ἡμῶν ἄγειν οὐ πάνυ τοῦτο πρόσθεν ποιοῦντας.
Ep 954 3	ἐκεῖ μὲν οὖν ὄντα σε τοῦτο ποιεῖν βούλομαι· βούλομαι δέ σε καὶ τῶν παρ’ ἡμῖν ἐπιθυμῆσαι πάλιν, ὅπως ἡμᾶς εὐφραίνων οἷς ποιεῖς εὐφραίνοις καὶ ὁρώμενος. εἰ δὲ δὴ καὶ τὸ μετ’ ἀρχῆς προσγένοιτο δόντος τοῦ Διός, μεῖζον ἡμῖν τοῦτ’ ἀγαθὸν ἢ Ῥοδίοις ὁ καταβὰς ἐν ὑετοῖς ἐξ οὐρανοῦ χρυσός. Πανηγυρίῳ.
Ep 955 1	Εὐδαίμων εἶναί μοι δοκεῖ Βοηθὸς οὑτοσὶ μεγάλην εἶναι ποιῶν τὴν τῶν Ἑλλήνων φωνὴν καὶ ταῦτα ἐν καιρῷ τῷ τὴν ἑτέραν ἀνθεῖν πεποιηκότι. τίνι δὴ τρόπῳ μεγάλην ἐκείνην καθίστησι; πολλοὺς ὑπερβὰς τῶν δύναμιν ἐχόντων γράμματα σοὶ παρ’ ἡμῶν ἐνεγκεῖν ἔφησεν ἐπιθυμεῖν· τὴν γὰρ οὖσαν αὑτῷ πρὸς σὲ φιλίαν οὕτως ἔσεσθαι μείζω.
Ep 955 2	ὅστις δὲ ἐρᾷ τοῦ φιλεῖσθαι παρ’ ἀνδρὸς σοφιστοῦ, λόγων οὗτος ἐρᾷ· ὅστις δὲ ἐρᾷ λόγων, σεμνύνει δήπου τοῦτο, περὶ ὃ τοῦτο πέπονθε, καὶ δὴ καὶ ἥδιστ’ ἂν αὐτοῦ πάντας ἀνθρώπους ἐποίησεν ἐραστάς. τὸν οὖν αὔξοντα τοὺς λόγους ἡμῖν πῶς οὐκ εὐεργέτην τε νομιστέον καὶ πᾶν ὅ τι ἂν κελεύῃ ποιητέον; ἐγὼ μὲν οὖν, γράψαι γὰρ ἐκέλευεν, ἔγραψα ποιήσας ἄν τι καὶ τῶν κίνδυνον ἐχόντων, εἴ τι τοιοῦτον ἐκέλευε· δεῖ δὲ καὶ σὲ τὴν αὐτὴν ἔχειν γνώμην καὶ πᾶν ἡδὺ νομίζειν ὅτῳ τὸν ἐραστὴν εὐφρανεῖς.
Ep 955 4	ταυτὶ δὲ σὺ μὲν ὁ πράξας οὐ γράψεις ὤν, οἷος εἶ, τὸν τρόπον· ὁ δὲ τιμηθεὶς οὐ σιγήσεται τιμῶν τὸ δίκαιον πανταχοῦ. Πρισκίωνι.
Ep 956 1	Ἀκούσας ἐπιδεδωκέναι σοι τὰ περὶ τὸν θρόνον ἥσθην τοῖς τε ἤδη δεδομένοις τοῖς τε προσδοκωμένοις· εἰκὸς γὰρ ἔσεσθαί τι καὶ τῶν παρόντων λαμπρότερον χρόνου τε καὶ πόνου ταῦτα ἐχόντων ποιεῖν. ἀγγείλαντος δέ τινος οὐκ ἐν εἰρήνῃ διάγειν σέ τε καὶ ὃν ἐπῄνεις παρ’ ἡμῖν Πανηγύριον τὸν σοφιστὴν ἠχθέσθην ἐνθυμούμενος ὡς ἀνάγκη πολεμοῦντας καὶ τόξων ἅπτεσθαι καὶ βελῶν, οἷα δὴ βέλη τὰ σοφιστῶν.
Ep 956 3	ἐκόμιζε δὲ οὐ ταῦτα ἡμῖν ὁ λόγος ἐκεῖνος, ἐν ᾧ σε καλῶς ἔλεγον βεβουλεῦσθαι τῷ παιδεύειν νέους δεδωκότα σεαυτόν. εἴτ’ οὖν ἀδικεῖς αὐτός, οὐ πάνυ μου μέμνησαι, εἴτε ἀμύνῃ, καὶ οὕτως ἐπιλέλησαι μου. παύσατε δὴ τὴν νῦν ταραχήν, καὶ γενέσθω τὸ μὴ πολεμεῖν τοῦ πολεμεῖν ἥδιον.
Ep 956 4	Νικίας δὲ ὑμῖν ὁ γενναῖος ἔσται Βοηθός. Σαπώρῃ.
Ep 957 1	Αἱ τοῦ θειοτάτου βασιλέως πρὸς σὲ καταλλαγαὶ σοὶ μὲν ἀποδεδώκασι τὴν οὐσίαν, ἅπαντας δὲ ἀνθρώπους εὔφραναν οὐχ ἧττον ἢ τὸν ἀπειληφότα τὴν οὐσίαν. ἀμοιβαὶ δὲ αὗταί σοι τῆς χρηστότητος, ᾗ χρώμενος ἐν τηλικαύτῃ δυνάμει πατὴρ ἐκλήθης πολλάκις δείξας ὡς ἔστι καὶ στρατιωτῶν ἡγούμενον μὴ χαλεπὸν εἶναι. ταυτὶ δὲ τὰ παρὰ τοῦ βασιλέως πέπρακται μὲν νῦν, ἑωρᾶτο δέ μοι πάλαι, καὶ πρὸς τοὺς ἑταίρους προὔλεγον ὡς ἃ γέγονε γενήσεται.
Ep 957 2	μάντιν δὲ ἐποίει με τοῦ βασιλέως ὁ τρόπος ὁ βραδὺς μὲν εἰς δίκην, ταχὺς δὲ εἰς χάριν καὶ μέμψεις φιλανθρωπίᾳ λύων καὶ λύπας ἰώμενος. ὃ δὲ ἐγκαλεῖς, τὸ μηδὲ λόγον ὑπὲρ τῶν τοιούτων ἐλθεῖν αὐτῷ παρ’ ἡμῶν ἤ, εἰ μὴ λόγον, ἐπιστολήν, μεῖζον ἦν ἢ κατὰ τὰ δοθέντα μοι παρ’ αὐτοῦ, καὶ τὸ δόξαι θρασὺς εἶναι δεδιὼς ἐκωλυόμην ἢ τοῦτο ποιεῖν ἢ ’κεῖνο.
Ep 957 3	τουτὶ δὲ κἀπὶ τῶν ἐμαυτοῦ πραγμάτων ἐφυλαξάμην· πρὸς ἃ καὶ αὐτὰ κατηγοροῦντά μου ταὐτὸν ἂν ἀπεκρινάμην. καὶ μὴν τό γε σοὶ πέμψαι παραμυθίαν ἐν γράμμασιν εἶχεν ἂν τὸν ἐπιτιμῶντα· καὶ πλέον δ’ ἂν οἱ κακοήθεις ἐποίουν.
Ep 957 4	ὑφ’ ὧν ἐγὼ πολλὰ πολλαχοῦ παθὼν οἶδα ὅσον ἐστὶ κακὸν ἄνθρωπος κακοήθης καὶ ὡς ἀπὸ συλλαβῆς ὅ γε τοιοῦτος ῥᾳδίως ἀνάψειεν ἂν πυράν. ἀμφοτέρων οὖν κηδόμενος, καὶ σοῦ καὶ ἐμοῦ, κάλλιον ἡγησάμην τὴν σιγὴν ὑπούσης τινὸς καὶ τοιαύτης ἐλπίδος σεαυτῷ διαλέξεσθαι καὶ τῆς λύπης ἀφαιρήσειν τοῖς παρὰ τῆς σῆς φρονήσεως φαρμάκοις, δι’ ἣν τὰς ἐν τοῖς ὅπλοις νίκας ἀναιρούμενος προσετίθεις ἕτερον ἀγαθὸν οὐκ ἔλαττον, τὴν πρὸς τὸ σεσωσμένον πρᾳότητα.
Ep 957 6	οἶμαι μὲν οὖν σοι ταῦτα ἀρκέσειν· εἰ δ’ ἡδέως ἂν καὶ μακροτέρων ἀκούσαις, πρὸς ἥκοντά σε τοῦτο ἔσται. Εὐσεβίῳ.
Ep 958 1	Καλῶς Ὀλύμπιον μὲν ἐθρήνησας, ἐμὲ δὲ ἐπῄνεσας· παντὸς γὰρ λόγου μακροῦ μεῖζον εἰς ἐγκώμιον τὸ δεῖσαι μὴ παράφρων τῇ λύπῃ γενοίμην. ἔδει μέντοι σε τὸν τοῦτον μὲν ἔχοντα τὸν φόβον, φόβον δὲ ἐμὸν μέγαν ἔργῳ μεγάλῳ λελυκότα μὴ καὶ λύπης αἴτιον εἶναί τινος· ἣν ἤνεγκέ μοι τὸ μὴ δυνηθῆναι βοηθῆσαι γυναικὶ δυστυχεῖ.
Ep 958 3	καίτοι λέλυται μὲν ἡ δίκη τῇ βασιλέως χειρί, παρ’ ἡμῖν δ’ ἂν εἰκότως ὄντα τὰ γράμματα οὐκ ἔστιν. ὁ δὲ κεκωλυκὼς ὁ φίλος ἡμῖν Εὐσέβιος λαβών τε καὶ κατέχων καὶ περὶ ἑτέρων μὲν ἐπιστέλλων, τοῦτο δὲ παραλείπων. δίκη ταῦτα, ὡς ἔοικε, καὶ λόγων καὶ ἔργων τῶν ὑπὲρ Θεοφίλου μοι κατὰ σοῦ γεγενημένων.
Ep 958 4	ἀκήκοα γάρ τι καὶ τοιοῦτον, ἐμήνυε δὲ αὐτὸς ὁ συκοφάντης. ἐγὼ δὲ οὐκ εἴ τις ἔπλασέ τι τοιοῦτο, θαυμάζω, ἀλλ’ ὅτι μὴ λίθους ἐπὶ τὸν εἰπόντα ἥρπασας. Τατιανῷ.
Ep 959 1	Ὑπὲρ ὧν νυνὶ γράφω, πάλαι μὲν ἴσως ἐχρῆν, ὄκνος δέ τις διεκώλυε· τοῦ πράγματος δὲ κατεπείγοντος οὐκέτ’ ἔξεστιν, εἰ καὶ λίαν ἐθέλοιμι, μὴ λέγειν. καὶ γὰρ ἂν καὶ χαλεπήναις ὕστερον ἀκούσας, ὅτι μὴ πρότερον ἤκουσας. τί οὖν αἰτῶ καὶ τί βούλομαι λαβεῖν παρ’ ἀνδρὸς ἡδομένου τῷ καλὰς διδόναι χάριτας; παῖς ἐκ γυναικὸς ἀγαθῆς ἐγένετό μοι καὶ τοιαύτης ὡς τὸν ἐκείνης τρόπον μικρὸν ποιῆσαί με νομίσαι πλούτους μεγάλους πατέρων θυγατέρας ἐχόντων.
Ep 959 3	γενόμενον δὲ τὸν παῖδα ῥήτορα γενέσθαι βουλόμενος, ἐπειδὴ τὸ δύνασθαι λέγειν εἶχεν, εἰς τοὺς συνδίκους ἐνέγραψα, καὶ χρυσὸν μὲν οὐ συνέλεξε πολύν, ἡ γλῶττα δὲ αὐτῷ πολλοὺς ἐπαίνους ἠνέγκατο καὶ τῶν πρὸς αὐτὸν μεμαχημένων αὐτὸ τοῦτο ποιούντων. γνοὺς δ’ ἅπαν τὸ πρᾶγμα τοῦτο ὁ παρὰ τοῦ Διὸς αὐτοῦ τὴν βασιλείαν λαβὼν βοηθεῖ βοήθειαν ἡμῖν πρέπουσαν τῇ αὑτοῦ φύσει.
Ep 959 4	καὶ κρείττων τῶν κωλυόντων γενόμενος ἔδωκεν εἰς αὐτὸν διαβῆναι τὰ ὄντα μοι τὰ μικρά, καὶ διέβη. ἀντὶ μὲν οὖν ταύτης τῆς τιμῆς ἀεὶ τῆς βελτίονος τύχης ἀπολαύοι βασιλεύς· τῶν φίλων δὲ ἡμῖν τῶν μὲν αὐτὸν ἐπὶ τὴν βουλὴν ἀγόντων, τῶν δὲ ἐν ᾧπερ ἦν τηρούντων, καὶ δοκούντων ἄμεινον φρονεῖν τῶν δευτέρων εἴχετο μὲν τοῦ λέγειν, δείσας δὲ τά τε πλοῖα καὶ τὸν σῖτον καὶ τὴν θάλατταν τάς τε ἐν τῷ βουλεύειν πληγάς, ὃ μηδ’ ὑπὲρ λόγων ἐπεπόνθει πώποτε, μίαν εὑρίσκει καταφυγὴν ζώνην τε καὶ τὸ ἄρξαι.
Ep 959 6	καὶ δακρύων ἅμα δεῖταί μου θαρρῆσαι πέμψαι πρὸς σὲ τὴν τοῦτο ποιήσουσαν ἐπιστολήν· πάντως δὲ αὑτὸν ἀγαπήσειν ἅπαν τὸ διδόμενον, ἅπαν γὰρ ἕξειν τὴν αὐτὴν ἀσφάλειαν, ὥσπερ αὖ καὶ χρόνον ἅπαντα, κἂν μὴν οὗτος ᾖ. ταυτὶ γὰρ ἔστιν ὁρᾶν ἐν πολλοῖς παραδείγμασι. λῦσον δὴ τὸν φόβον, ὦ γενναῖε, καὶ τῷ νέῳ καὶ τῷ γέροντι.
Ep 959 7	καὶ γὰρ εἰ τεθνεῶτος ἤδη μου ταῦτα συμβήσεται τὰ δεινά, λόγος ἀνδρῶν σοφῶν εἶναι καὶ ὑπὸ γῆς τό τε χαίρειν καὶ τὸ λυπεῖσθαι. Ἀβουργίῳ.
Ep 960 1	Καὶ διὰ ταύτης τῆς ἐπιστολῆς ἃ διὰ τῆς προτέρας αἰτοῦμεν. ᾐτοῦμεν δὲ δι’ ἐκείνης εὔνοιάν τε τὴν παρὰ σοῦ καὶ βοήθειαν καὶ τὸ δοῦναί τέ σε τὰ γράμματα παρεῖναί τε τοῖς ἀναγιγνωσκομένοις καὶ ποιεῖν ἰσχυρὰ τοῖς παρὰ σοῦ ῥήμασι. μέγα δ’ ἂν ἐν τοῖς τοιούτοις ἐνέγκαι τι καὶ νεῦμα. ἐνθυμοῦ δὲ ὅτι σοι φεύγειν οὐκ ἔνι τήνδε τὴν βοήθειαν διὰ τὴν ἀπὸ τῆς προτέρας ἀνάγκην.
Ep 960 2	ὁ γὰρ ἐμῷ παιδὶ βεβοηθηκὼς Εὐσεβίῳ πῶς οὐκ ἂν καὶ Ἀρραβίῳ παιδί γε ὄντι καὶ αὐτῷ καὶ μᾶλλόν γε ἢ ’κείνῳ; τὸ μὲν γὰρ τῶν λόγων καὶ παρὰ τῷδε, τὸ δὲ καὶ δι’ αἵματος οὐ παρ’ ἐκείνῳ. Παύλῳ.
Ep 961 1	Πρὸς εἰδότας ἔγραψας ἃ γέγραφας. ἡμῖν τε γὰρ ἦν ἐπιμελὲς εἰδέναι τὰ σὰ τῶν τε ἀπαγγελούντων οὐδὲν ἠπορήσαμεν πολλῶν ὄντων τῶν τὰ τηλικαῦτα εἰδότων. μεγάλα γὰρ δὴ τὰ σὰ καὶ οὐκ ἂν ἠγνοεῖτο. συγχαίρω δέ σοι κρείττονι τοῦ καιροῦ γεγενημένῳ· παρὰ μὲν γὰρ ἡμῶν πολὺ τὸ πετόμενον, σοὶ δ’ οἱ γευσάμενοί σου μένοντες καὶ μένοιεν καὶ μήποτε πεισθεῖεν εἶναι τὰ χείρω βελτίονα.
Ep 961 3	τῷ κάλλει δέ με τῆς ἐπιστολῆς εὐφράνας καὶ τῷ ποιῆσαί μοι τὸν υἱὸν ὁμώνυμον ἐλύπησας τῇ συκοφαντίᾳ μνημονεύσας ὀργῆς οὐκ οὔσης. οὔτε γὰρ δὴ σὺ περὶ ἡμᾶς ἐγένου κακὸς ἡμεῖς τε οὐκ ἂν πρὸς ἀγαθὸν ὠργιζόμεθα. τὸ δὲ μήτ’ ἐμὲ πρὸς σὲ πολλοῦ χρόνου γράψαι μήτ’ αὖ σὲ πρὸς ἐμὲ τῶν ἀσχολίαις κεκωλυμένων ἐστίν. Σωπόλιδι.
Ep 962 1	Εὐδαίμονα χρὴ καὶ νομίζειν καὶ καλεῖν τὸν τοιαύτης μὲν ἑορτῆς μετεσχηκότα καὶ τεθεαμένον θεὸν τὸν αὑτοῦ νεὼν τὸν ἐν ἄστει κομιζόμενον μετὰ τὴν ἔξω τείχους διατριβὴν τὴν κατὰ νόμον. πῶς γὰρ οὐκ εὐδαίμων ἦν ὁρῶν αὐτόν τε τὸν θεὸν καὶ οἷς ἐτιμᾶτο; εὐδαίμων δὲ πάλιν διὰ πολλῶν τόπων ἐν ὀλίγαις ἡμέραις δραμὼν καὶ λέγειν ἔχων· εἶδον Ἄρειον πάγο ν , εἶδον Ἀκρόπολι ν , εἶδον τὰς μετὰ πολλὴν ὀργὴν διηλλαγμένας θεὰς ἤδη τῶν αἰτιῶν ἀφειμένου τοῦ τῷ πατρὶ βεβοηθηκότο ς .
Ep 962 2	εἶδον καὶ τὴν δ ι ’ ἀγῶνος κτησαμένην τὴν πόλι ν , τὴν Ἐρεχθέως τροφό ν. ἐκεῖνον μὲν οὖν ὧν τεθέαται μακαρίζω, σὲ δὲ οὐ μόνον τοῦ καὶ τούτων καὶ πολλῶν ἑτέρων ἀπολαύειν καθ’ ἑκάστην ἡμέραν, ἀλλὰ καὶ τοῦ κάλλους τῆς ἐπιστολῆς, ἥν μοι δοκεῖς οὐκ ἄνευ τοῦ Διονύσου γράψαι· πρὸς τοσοῦτον ἥκει χαρίτων.
Ep 962 4	ἠρόμην δὲ τὸν δόντα μοι τὴν ἐπιστολὴν περὶ τῶν τοῦ παιδὸς πληγῶν, καὶ μεγάλα ἀκούσας οὐκ ἠπίστησα, οὐδὲ γὰρ τοῖς ποιηταῖς θαυμάζουσι Νεοπτόλεμον. τὸν γὰρ ἐκ τοιούτων ἔδει δήπου καὶ τοιοῦτον εἶναι καὶ ταράττειν δύνασθαι φάλαγγας, ὥσπερ αὖ καὶ ὁ πατήρ, οἶμαι δὲ καὶ ὁ πάππος. φιλείτω τοίνυν με καὶ ὁ καλὸς Ἀψίνης.
Ep 962 5	δίκαια γὰρ ἂν ποιοίη γέροντα φιλῶν καὶ συνευχόμενον αὐτῷ. Σιβουρίῳ.
Ep 963 1	Οὕτως ἥσθην σου τοῖς γράμμασιν, ὥστε δοὺς αὐτὰ τῶν νεανίσκων τισὶν ἐκέλευσα διὰ πάσης φέροντας τῆς πόλεως δεικνύειν οἷς ἄξιον, ὅπως τε σὺ ἐπαινοῖο τιμῶν τὸ χρῆμα τῶν λόγων ἐγώ τε ζηλωτὸς εἴην ὑπὸ τοιούτων τιμώμενος. καὶ συνερρύησαν δὴ πολλοὶ παρ’ ἐμὲ τῆς ἀναγνώσεως τοῦτο πεποιηκυίας. ἦν ἂν οὖν ζηλωτότερος, εἰ παντὸς τοῦτο ἦν τοῦ παρελθόντος χρόνου· νῦν δ’ ἃ χρῆν ἐπὶ πολλοῖς ἥκειν γράμματα, πρῶτα ἀφῖκται, βουλοίμην δ’ ἂν αὐτὰ μὴ καὶ μόνα.
Ep 963 3	τούτου δὲ σὺ κύριος, ὃς εἰκότως ἂν αὐτὸ ποιοίης τῆς τε φιλίας μοι τῆς σεαυτοῦ μεταδοὺς καὶ τὸν ἀδελφὸν εἰδὼς ταὐτὸ πεποιηκότα, τὸν βουληθέντα μέν μοι καλλίω ποιῆσαι τὴν τάξιν, πρᾴως δὲ ἐνηνοχότα καὶ τὸ διώσασθαί με. φρονῶν τοίνυν ἐπί τε τῇ ’κείνου περὶ ἐμὲ γνώμῃ μέγα καὶ δὴ καὶ τῇ σῇ τὸν μὲν ἐν λειμῶσιν εὔχομαι τοῖς ἐκεῖ διατρίβειν, σὲ δ’ ἡμῖν εἰς μῆκός τε βίου προελθεῖν καὶ δεῦρο ἐλθεῖν.
Ep 963 4	ποιήσεις γὰρ ἡμᾶς ταῖς συνουσίαις βελτίονας, οὓς ἡδίους ποιήσει φανεὶς ὁ δείξων τοῖς ὑπ’ αὐτὸν ἐσομένοις ἐν αὑτῷ τὸν πατέρα. Ἱεροφάντῃ.
Ep 964 1	Πολλὰ ἀγαθὰ γένοιτο καὶ τῷ γεγραφότι καὶ τῷ κεκομικότι τὰ γράμματα. πάνυ γὰρ ἐλπίζω τὸν μετὰ ταῦτα χρόνον ἀμείνω τοῦ πρὸ αὐτοῦ ἔσεσθαι τῆς σῆς φωνῆς τε καὶ χειρὸς τὸν χειμῶνα λυούσης. χειμῶνα δὲ λέγω νῦν τὴν ἐκ πολλῶν συνειλεγμένην λύπην.
