Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
8 2 50	Τρυφῶν στρατηγὸς κοινὸς ὄλεθρος τῷ στρατεύματι γίνεται. Ἄριστος ἡγεμὼν ὁ καὶ θάρσος εὐκαίρως ἐμποιῶν καὶ προπέτειαν δειλιώντων στρατιωτῶν ἀναστέλλων.
8 2 52	Στρατηγὸς εἰρήνης ἐπιθυμῶν εὐπρεπὴς ἔστω πρὸς πόλεμον· τοὺς γὰρ πρὸς πόλεμον ἑτοίμους μᾶλλον ἀγωνιῶσιν οἱ βάρβαροι. Πταίσας τὶς ἐν ἑτέροις πράγμασι μετ’ ὀλίγον τὸ πταισθὲν ἐπανώρθωσεν, τοῖς δὲ κατὰ πόλεμον ἁμαρτήμασιν ἡ βλάβη πρόσεστιν.
8 2 53	Τοῖς πολλὰ πράττουσι φαῦλα μηδὲ περὶ τῶν τυχόντων πιστεύειν καλόν. Ἀκριβὴς στρατηγὸς ὁ μὴ τὰ εἰκότα μόνον παρὰ τοὺς κινδύνους, ἀλλὰ καὶ τὰ παράδοξα λογιζόμενος.
8 2 55	Τὴν μὲν εἰρήνην ἄσκησιν τῶν κατὰ πόλεμον, τοὺς δὲ ἀγῶνας ἐπίδειξιν τῆς ἀνδραγαθίας ποιοῦ. Μὴ πρότερον εἰς ὕπνον τρεπέσθω ὁ στρατηγός, πρὶν κατανοήσει τί μὲν πράξαι δέον παρέλιπεν, τί δὲ εἰς τὴν αὔριον πραχθῆναι καλόν.
8 2 57	Ἐν παντὶ μὲν καιρῷ κρατεῖν ἡδονῆς, ἐν δὲ πολέμῳ μᾶλλον χρήσιμον στρατηγῷ. Μὴ προχείρως πιστευέτω τοῖς ὑπισχουμένοις τί πράξειν ὁ στρατηγός· εἰ δὲ μή, κοῦφος τοῖς ἐντυγχάνουσι νομισθήσεται.
8 2 59	Μέλλησις μετὰ λογισμοῦ κατὰ πόλεμον ἀσφάλειαν ὑπισχνεῖται πολλήν· οἱ γὰρ ὀξεῖς καὶ προπετεῖς στρατηγοὶ πλεῖστα διαμαρτάνουσιν. Εἰκὼν ἔστω τῶν πρακτέων τοῖς ὑπηκόοις ὁ στρατηγός· ἄριστά τε γυμναζόμενος καὶ ποιῶν μὲν ἆ δεῖ, ἀπεχόμενος δὲ ὧν καὶ τοὺς στρατιώτας ἀπέχεσθαι χρήσιμον.
8 2 61	Ὅρκῳ δεῖ τὸν στρατηγὸν τὴν τῶν στρατιωτῶν εὔνοιαν ἀσφαλίζεσθαι. Τὴν ἑκάστου ἄρχοντος καὶ στρατιώτου κίνησιν τε καὶ ὁρμὴν εἰδὼς στρατηγός, οἶδεν καλῶς ἐφ’ ὁποῖαν ἕκαστον πράξιν δεόντως ἀποστελεῖ.
8 2 63	Τοὺς πολεμίους ὁ στρατηγὸς τὰ οἰκεῖα βουλεύματα λανθάνειν βουλόμενος, μηδὲ τοὺς πολλοὺς τῶν οἰκείων ταῦτα θαῤῥείτω ποτέ. ἴσης παρ’ ἑκατέρας οὔσης παρασκευῆς ὁ κάλλιον τάττων πλεονεκτεῖ στρατηγός. Ἱκανὸς ὢν ἐν τῷ λέγειν ὁ στρατηγός, καὶ τοὺς δειλιῶντας πολλάκις εἰς μάχην ἔστησε καὶ τὰς ἐν τοῖς στρατοπέδοις εὐκόλως παρεμυθήσατο συμφοράς.
8 2 65	Κατανοείτω τὸ χωρίον ὁ στρατηγός, εἰ ὑγιεινόν τε καὶ σωτήριον, ἢ νοσερόν, καὶ τοῖς οἰκείοις πολέμιον, καὶ ταῦτα δὲ τὰ ἐπιτήδεια, ὕδωρ καὶ ξύλα καὶ χόρτον, εἰ πλησίον εἰσίν. Εἰ γὰρ πόῤῥωθεν εἴῃ, δυσχερής τε καὶ ἐπικίνδυνος καὶ μάλιστα πολεμίων παρόντων ἡ τούτων συγκομιδή. Καὶ λόφον δέ τινα παρακείμενον προκαταλαμβάνειν καλόν, μὴ λάβωσι τοῦτον φθάσαντες ἡμᾶς οἱ πολέμιοι. Πολλάκις ἡ τοῦ στρατηγοῦ προσποίησις ὤνησεν οὐ μικρά· δόξας γὰρ ἔσθ’ ὅτε χάρακα τίθεσθαι, εἰς ὁμοίαν δὲ πρᾶξιν τοὺς πολεμίους παρώρμησε, καὶ λαθὼν αὐτὸς ἢ συντεταγμένως ἐσκεδασμένοις περὶ τὰ ἐπιτήδεια τοῖς πολεμίοις ἐπέθετο, ἢ λαθὼν ἐκ τόπων δυσχερῶν ἀπήγαγε τὸ στρατόπεδον.
8 2 67	Δεῖ τὸν στρατηγὸν ἐν ταῖς πράξεσιν ὥς περ ἀγαθὸν παλαιστὴν δεικνύειν μὲν ἕτερα καὶ τούτοις πειρᾶσθαι τοὺς ἐναντίους ἐξαπατᾶν, κεχρῆσθαι δὲ τοῖς τε ἁρμόζουσι τῷ καιρῷ, καὶ οἶς ἂν τῶν μαχομένων κρατήσειεν. Ἄριστος καὶ σοφὸς στρατηγὸς ἐν πολέμοις καὶ ἑκάστῃ δὲ αὐτοῦ κατ’ ἐχθρῶν ἐγχειρήσει, ὡς πρὸς δευτέραν τύχην καὶ ἐναντίαν ἔκβασιν ἀποβλέπων καὶ ὡς παρούσης ταύτης δεόντως προνοῶν, ἐπειδὴ πέφυκε τῷ φρονήματι τῶν ἀρχόντων συνδιατίθεσθαι τοὺς ἀρχομένους.
8 2 68	Ἀρχαῖός ἐστι λόγος, κάλλιον εἶναι λέοντα ἐλάφων ἄρχειν ἢ ἔλαφον λεόντων. Ὅτι οὐ δεῖ τὰς συμμαχικὰς δυνάμεις ἐμμιγνύειν τῷ ἰδίῳ στρατῷ, ἀλλὰ καὶ τὰ ἄπληκτα αὐτῶν καὶ τὰς ὁδοιπορίας ἰδίας παρασκευάζειν ποιεῖσθαι καὶ παντοίως αὐτοὺς ἀποκρύπτειν τήν τε τάξιν καὶ στρατηγίαν, ἵνα μὴ ταύτας γινώσκοντες ἐν καιρῷ ἔχθρας ἁρμόζωνται κατὰ τῶν ἐναντίων.
8 2 70	Τοιαύτη τις ἔστιν ἐν τοῖς τῶν πολέμων καιροῖς ἡ τοῦ συμφέροντος εὕρεσις· τὸ σοὶ συμφέρον τοῖς πολεμίοις ἐστὶν ἀσύμφορον, καὶ ὅπερ ἐκείνοις ὠφέλιμον, τοῦτο τοῖς σοῖς ἐναντιοῦσθαι φιλεῖ. οὐδὲν τοίνυν κατὰ τὴν ἐκείνων γνώμην ἢ ποιεῖν ἢ παραιτεῖσθαι συμφέρει ἡμῖν. Τοῦτο δὲ πράττειν μόνον, ὅπερ τοῖς ἡμετέροις χρήσιμον εἶναι νομίζομεν. Εἰ γὰρ ἅπερ ἐκεῖνος ὑπὲρ ἑαυτοῦ πράττει, ταῦτα συμμιμήσῃ, ἑαυτὸν ἀδικεῖς· ὥσπερ καὶ τὸ ἀνάπαλιν, εἴ τι σὺ πράττεις συμφέρον αὐτῷ, τοῦτο βλάψει τὸν πολέμιον τὰ σὰ μιμεῖσθαι βουλόμενον. Πλείστας ἐκτάξαντες φάλαγγας πλείοσιν ἐπαγωγαῖς κατὰ τῶν πολεμίων χρησόμεθα, τὸ τοῦ ποιητοῦ μιμησάμενοι· ῥεῖα δὲ κἀκμῆτες κεκμηότας ἄνδρας αὐτῇ ὤσαιμεν πρό τι ἄστυ.
8 2 71	Διὰ πολλὰς γὰρ καὶ οὐ τὰς τυχούσας αἰτίας ἐπισφαλὲς εἰς ἄπειρον ἐκτείνειν τὸ στράτευμα. Συμμέτρου χρεία στρατεύματος, εἰ κρατῆσαι τῶν πολεμίων μόνον βουλόμεθα· πλείονος δέ, εἰ καὶ τὴν κτηθεῖσαν παρὰ τῶν πολεμίων γῆν φυλάττειν ἐθέλοιμεν. Πλείονας ἱππεῖς τῶν πεζῶν ἐχέτω μᾶλλον ὁ στρατηγός· οἱ μὲν γὰρ πρὸς σταταίαν μάχην εἰσὶν ἐπιτήδειοι, οἱ δὲ καὶ πρὸς τὸ διώκειν εὐκόλως καὶ ὑποχωρεῖν εἰσι χρήσιμοι, καὶ κατίοντες τῶν ἵππων εὐκόλως πεζομαχήσουσιν.
8 2 73	Ἀγαθὸς στρατηγὸς πόλεμον δημόσιον, εἰ μὴ καιρῶν ἢ πραγμάτων καταλάβῃ περίστασις μεγίστη, πρὸς τοὺς ἐναντίους οὐ τίθεται. Ἄλλοις μὲν ἐπὶ τῆς παρατάξεως, ἄλλοις δὲ πρὸ τῆς συμπλοκῆς, ἄλλοις παρὰ τὰς τῶν πολεμίων ἐντάξεις καὶ ἄλλοις σιτούμενος μὲν, ἄλλοις δὲ καθεύδων κεχρήσθω σχήμασιν, ὡς ἂν μήτε τοῖς ἐναντίοις, μήτε τοῖς ἄλλως ἐπιβουλεύουσιν εὐάλωτος.
8 2 74	ἧς ὁ δὲ Καρχηδόνιος Ἀνίβας καὶ κόμῃ προσθετῇ καὶ πώγωνι διαφόρῳ χρώμενος θειοτέρας εἶναι τοῖς βαρβάροις φύσεως ἐνομίζετο. Οὐ πρὸς τὴν ὅπλισιν μόνον, ἀλλὰ καὶ πρὸς τὰ ἔθνη τὸν τόπον ἐπιλεγόμεθα.
8 2 75	Πάρθοι μὲν γὰρ καὶ Γάλλοι πεδιάσιν εἰσὶν ἐπιτήδειοι, Σπάνοι δὲ καὶ Λίγουροι ἐν ὄρεσί τε καὶ λόφοις μάχονται κάλλιον, καὶ Βρετανοὶ ἐν ὕλαις. Γερμανοὶ δὲ τοῖς ἐλώδεσι χαίρουσι τόποις. Ὁποῖον ἂν τόπον ἐπιλέξηται ὁ στρατηγός, γνώριμον τοῦτον ποιείτω τοῖς στρατεύμασιν· οὕτως γὰρ ἂν ἐκφεύξωνται τῶν τόπων τοὺς δυσχερεῖς καὶ μετὰ θάρσους τοῖς πολεμίοις διὰ τὸ γνωρίζειν τοὺς τόπους μαχήσονται. Ἐξάγων ὁ στρατηγὸς τοὺς στρατιώτας εἰς πόλεμον, ἱλαρὸς ἔστω παραιτούμενος τὸ στυγνόν, ὥστε τὰ πολλὰ γὰρ ἐκ τῆς ὄψεως τοῦ στρατηγοῦ τὰ στρατεύματα τὸ μέλλον εἰκάζουσιν.
8 2 77	Μετὰ τὴν νίκην ὁ στρατηγὸς μὴ παραχρῆμα λυέτω τὰς τάξεις. Πολλάκις γὰρ οἱ πολέμιοι τοὺς ἡμετέρους ὁρῶντες διὰ τὴν χαρὰν ἀναπεσόντας ταῖς διανοίαις καὶ λελυκότας τὰς τάξεις ἀναθαῤῥήσαντες καὶ μαχόμενοι πάλιν τρόπον τὴν νίκην ἀπέδειξαν. Κυκλωθεῖσι τοῖς πολεμίοις τοῦ κύκλου μέρους ἀνοίξαντες πάροδον εἰς φυγὴν διδόναι τοῖς πολεμίοις καλόν, ἵνα τὸ φεύγειν τοῦ μένειν τε καὶ κινδυνεύειν κρίνωσιν αἱρετώτερον.
8 2 79	Πρὸς τὴν τοῦ στρατηγοῦ κίνησιν τὸ στράτευμα κρίνεται. Τοῦτο γὰρ εἰδὼς ὁ Καρχηδόνιος Ἀνίβας, ἐπειδὴ Σκιπίωνα στρατηγοῦντα Ῥωμαίων ἐπέγνω, εἶτα τὴν διάταξιν ἐπαινήσας τοῦ στρατεύματος τοῖς ἐγκαλοῦσιν, ὅτι πρὸς τοὺς πολλάκις ἡττημένους ὀκνηρότερον τῆς μάχης ἀπέρχεται, ἀπελογήσατο λέγων· βουλοίμην, ἔφην, πρὸς ἀγέλην λεόντων ἔχειν, ἧς ἔλαφος ἄρχει, μᾶλλον ἢ πρὸς ἀγέλην ἐλάφων, ἧς λέων ἐστὶν ἡγεμών. Εὐτυχὴς στρατηγὸς τοῦ γενναίου μᾶλλον τοῖς κοινοῖς ἐστιν ὠφελιμώτερος· ὁ μὲν γὰρ ἀπόνως, ὁ δὲ μετὰ κίνδυνον τὰ πλείονα κατορθοῖ.
8 2 80	Τοὺς δολίους τῶν ἐντυγχανόντων μᾶλλον ἢ τοὺς πικροὺς παραιτεῖσθαι καλόν. οἱ μὲν γὰρ οὐδὲν λανθάνουσι πράττοντες, τῶν δὲ τοῖς ἔργοις παρακολουθεῖν δυσχερές. Δεινὸς μὲν ἔστω μετὰ ἀκριβείας ὁ ἡγεμὼν τὰ τῶν στρατιωτῶν ἐξετάζων πταίσματα, πρᾷος δὲ συστέλλων τὰς ἐπὶ τούτοις κολάσεις· οὕτω γὰρ εὔνουν τὸ ὑπήκοον κτήσεται.
8 2 82	Ἀκατάπληκτος ἐν τοῖς δεινοῖς στρατηγός, συνετὸς ἐν βουλῇ, πρᾷος τοῖς ἐντυγχάνουσιν, οὐ μετὰ θυμοῦ θηριώδους, ἀλλὰ μετὰ λογισμοῦ τοῖς πολεμίοις ἐμπίπτων, πλεῖστα μαχόμενος κατορθοῖ. Μηδὲν ἀγνοέτω τῶν κατὰ πόλεμον συμβαινόντων ὁ στρατηγός· τίς γὰρ ἅπερ ἀγνοεῖν πράττειν ἐπιχειρήσειεν, ἢ τίς, ἅπερ οὐκ οἶδεν ὡς σφαλερά, τούτοις τινὰ βοήθειαν ἐπάγειν δυνήσεται; Δεῖ τὸν στρατηγὸν τοῖς ἐναντίοις ἐπιβουλεύειν οὐ δι’ ὅπλων μόνων, ἀλλὰ καὶ διὰ σιτίων καὶ ὕδατος, τὰ μὲν ἄποτα ποιοῦντα, τὰ δὲ τοῖς θανασίμοις φαρμάσσοντα.
8 2 83	Δεῖ δὲ καὶ τὰ τούτων εἰδέναι σωτήρια καὶ οἶς ἂν τὰ τοιαῦτα ῥαδίως ἐκφύγοιμεν. Ἐχέτω μὲν ἀεὶ περὶ αὐτὸν ἄνδρας ἐπιλέκτους ὁ στρατηγός, μεθ’ ὧν ἐπικουρεῖν τοῖς κάμνουσι τῆς στρατιᾶς δυνήσηται μέρεσι.
8 2 84	Μὴ προπετῶς δὲ χωρείτω κατὰ τῶν πολεμίων, μή τι παθῶν ἀθρόως συναπωλέσῃ τὸ στράτευμα. Ἐχομένῳ λόγῳ τὸν στρατηγὸν καὶ πανηγυρίζειν κατὰ τῶν πολεμίων, τοῖς ἡμετέροις πειθόμενος, μή ποτε τοίνυν ἡμᾶς καταλίπητε ἐξ ἑτέρων ἑτέρους συμπλέκοντες καὶ τοῖς ἡμετέροις κοσμοῦντες δωρήμασιν.
9 pin t	〈ΛΟΓΟΣ Θʹ.〉 ΚΕΦΑΛΑΙΑ ΤΟΥ ΕΝΑΤΟΥ ΛΟΓΟΥ Αʹ.
9 pin 1	Περὶ ἐφόδων ἀδοκήτων. Βʹ. Περὶ νυκτερινῶν ἐφόδων. Γʹ. Πῶς δεῖ τῇ τῶν πολεμίων χώρᾳ εἰσβαλεῖν καὶ πῶς ὁδοιπορεῖν ἀσφαλῶς ἐπ’ αὐτῇ καὶ πραιδεύειν βλάβης ἰδίας χωρίς; Δʹ. Περὶ διαβάσεως στενῶν καὶ δυσβάτων τόπων. Εʹ. Πῶς δεῖ σκουλκεύειν ἐχθροὺς καὶ πῶς δεῖ ἐξπλοράτορας ἤτοι κατασκόπους κρατεῖν λανθάνειν θέλοντας ἐν τῷ στρατῷ; Περὶ ἐφόδων ἀδοκήτων.
9 1 1	Τὸ δίχα ἰδίας βλάβης τὰς κατὰ τῶν ἐχθρῶν ἐπελεύσεις ποιεῖσθαι καὶ ἀρχαῖος που διδάσκει λόγος, ὅπερ καὶ οἱ συνετοὶ τῶν στρατηγῶν παραφυλάττοντες ὡς ἐπίπαν εὐδοκιμοῦσι. Τοῦτο δὲ γίνεσθαι δυνατόν, ἐὰν σεσοφισμένως καὶ ἀθρόως αἱ κατὰ τῶν ἐχθρῶν γίνωνται ἐπελεύσεις. Οὐ μόνον γὰρ πρὸς τὰς ἰσομέτρους δυνάμεις ἐπωφελεῖς εὑρίσκονται ἐπιτηδείως αὗται γενόμεναι, ἀλλὰ μὴν καὶ πρὸς τὰς πάνυ ὑπερβαλλούσας. Διὰ τοῦτο οὖν καλὸν μέν ἐστιν ἀεὶ καιροὺς καὶ προφάσεις ἁρμοδίας τηρεῖν καὶ προκαταλαμβάνειν τοὺς ἐχθροὺς πρὶν ἢ ἐμπαράσκευοι γένωνται, καὶ κατ’ ἐξαίρετον ἐκείνους τοὺς νομιζομένους ἐν πλήθει δυνάμει ὑπερέχειν.
9 1 3	καθ’ ὧν δεῖ αἰφνιδιασμοῖς μᾶλλόν τισι καὶ σοφίσμασιν, ὡς εἴρηται, κατὰ τὸ δυνατόν, πρότερον σπεύδειν κεχρῆσθαι, ἤπερ δημοσίαις ἐγχειρήσεσι, καὶ ἐντεῦθεν κινδύνοις δυσαναλήπτοις προσομιλεῖν. Οἱ μὲν γὰρ πρεσβείας ἀπὸ τῶν ἐχθρῶν δεξάμενοι ἁπαλά τε καὶ κολακευτικὰ ῥήματα ἀντιδηλώσαντες καὶ μετὰ τιμῆς τὴν πρεσβείαν ἀπολύσαντες εὐθέως ἐπακολουθήσαντες αὐτοῖς ἐπῆλθον ἀδοκήτως.
9 1 5	Ἄλλοι δὲ ἰδίαν πρεσβείαν στείλαντες μετὰ ῥημάτων μετριωτέρων τὴν ἐπέλευσιν ἄφνω ἐποιήσαντο. Ἄλλοι δὲ καὶ ἐν αὐτοῖς τοῖς τῶν ἐχθρῶν ἀπλήκτοις πολυπραγμονήσαντες ἂν ἀσφαλῶς αὐτοὺς ἀπληκεύειν, ἐν νυκτὶ τῆς σελήνης συναυγαζούσης πρὸ δύο ἢ τριῶν ὡρῶν τῆς ἡμέρας τὴν κατὰ τῶν ἐχθρῶν ἐγχείρησιν ἐποιήσαντο, τοξόται μάλιστα ὄντες· τοιούτων γὰρ χρεία ἐν τοῖς τοιούτοις καιροῖς.
9 1 7	Ἕτεροι μαθόντες ἐν ταῖς πορείαις ἀσυντάκτως καὶ ἐσκορπισμένως περιπατεῖν τοὺς ἐχθρούς, ἐν τῷ μέσῳ τῆς ὁδοῦ ἐπελθόντες ἔβλαψαν. Ἄλλοι ἐν τόποις κρύψαντες ἑαυτούς, ἄφνω τὴν κατὰ τῶν ἐναντίων ἔφοδον εἰργάσαντο.
9 1 9	Ἄλλοι σχηματισάμενοι ἀναχώρησιν ἐξ ὧν διῆγον τόπων, ἄφνω ἐπανατρέψαντες τοῖς ἐχθροῖς ἐπέστησαν. Ἄλλοι προσβαλλόμενοι ἀγέλας ζῴων ἐντεῦθέν τε τοὺς ἐχθροὺς προτρέψαντες εἰς διαρπαγὴν τούτων, ὡς εἶδον αὐτοὺς ἀτάκτως κατ’ αὐτῶν διασκεδασθέντας, ἐπέθεντο αὐτοῖς.
9 1 11	Γίνονται δὲ καὶ φανερῶς ἔφοδοι, ὅταν ἐν τῷ μεταξὺ διαστήματι τῶν ἐχθρῶν ποταμὸς εὑρεθῇ δύσβατος, καὶ μάλιστα καβαλλαρίοις. Γεφύρας ἐνταῦθα συμπηγνυμένης, ἢ διὰ ξύλων ζυγωμάτων, ὥς ἐστιν ἔθος τὰς πολλὰς γίνεσθαι, ἢ διὰ ναυκλῶν πύργων τε ἢ ξυλίνων ἢ οἰκοδομημάτων ἐκ λίθου ξηροῦ ἢ χώματος ἑκατέρωθεν τῶν ἄκρων αὐτῆς ἐγειρομένων, δι’ αὐτῆς ὅτε χρεία τὴν διάβασιν ἀσφαλῶς ποιεῖσθαι, καὶ πάλιν ἀναχώρησιν, ὥστε ἐν τῇ τοῦ στρατηγοῦ ἀποκεῖσθαι γνώμῃ προσμένειν ὅσον βαστάζειν αὐτὸν χρόνον ἢ συμβαλεῖν ἀσφαλῶς ἢ ἀναχωρεῖν τῆς γεφύρας παρ’ αὐτοῦ καταλυομένης. Ἀλλ’ ἐν ταῖς τοιαύταις ἐγχειρήσεσι καὶ ταῖς κατὰ τῆς τῶν ἐχθρῶν χώρας εἰσόδοις οὐ δεῖ καίειν ἢ ἀφανίζειν τὰς δαπάνας ἐκείνων τῶν χωρίων, δι’ ὧν ἐλπίζει ὑποστρέφειν, ἵνα μὴ ἑαυτὸν στενώσῃ.
9 1 13	Τὰς δὲ τοιαύτας γεφύρας γίνεσθαι ἀναγκαῖον νομίζομεν καὶ ἐν καιρῷ δημοσίας μάχης, ἐφ’ ᾧ τὰ ἄπληκτα ἐν τοῖς τοιούτοις ποταμοῖς καθίστασθαι, εἴπερ δύσβατος εὑρεθείη ἐν οἱῳδήποτε μέρει τῆς τοῦ τοιούτου ποταμοῦ ὄχθης, καὶ κατ’ ἐξαίρετον κατὰ τοῦ μέρους τῶν ἐχθρῶν, ἐφ’ ᾧ ἀνεμποδίστως καὶ ἀστενοχωρήτως ἐν τῇ ἡμέρᾳ τῆς μάχης τὸν στρατὸν ἐξάγεσθαι, εἶτα δὲ καὶ ἐν καιρῷ τροπῆς ἐν τῷ ἀπλήκτῳ μένειν αὐτοὺς ἀσφαλῶς φυλαττομένους καὶ μὴ ἀναγκάζεσθαι ἐν αὐτῇ τῇ ὥρᾳ τῶν ἐχθρῶν ἐπικειμένων τὴν διάβασιν τῆς γεφύρας μὴ βουλομένους ποιεῖσθαι. Καὶ διὰ τοῦτο χρὴ εἰς τὴν ὄχθην τὴν ἐπὶ τὸ μέρος τῶν ἐχθρῶν τὸ ἄπληκτον γίνεσθαι. Περὶ νυκτερινῶν ἐφόδων.
9 2 1	Νυκτεριναὶ ἔφοδοι διάφοροι παρὰ τῶν στρατηγῶν γεγόνασιν. Οἱ μὲν γὰρ πλησίον τῶν ἐναντίων ἀπληκεύσαντες ὡς ἀπὸ ἑνὸς ἀπλήκτου, πρεσβείαν τε μίαν καὶ δευτέραν εἰρηνικὴν δηλώσαντες, καὶ ἐλπίδας συμβάσεως δεδωκότες τοῖς ἐναντίοις, καὶ ἀμερίμνους ποιήσαντες, ἀδοκήτως προεπῆλθον πρὸ ἡμέρας, ἐν νυκτὶ τὴν ὁδοιπορίαν ποιησάμενοι, ὅπερ ἐποίησε Λούσιος ὁ στρατηγὸς Ῥωμαίων ἐπὶ Τραϊανοῦ. Ἄλλοι ἐπὶ ἡμέρας τινὰς παραταξάμενοι πλησίον τοῦ ἰδίου ἀπλήκτου ὡς ἐπὶ μάχῃ δημοσίᾳ καὶ σχηματισάμενοι φοβεῖσθαι τοὺς ἐναντίους καὶ διὰ τοῦτο μὴ παρεξέρχεσθαι πλέον τοὺς τόπους τοῦ ἰδίου ἀπλήκτου, καὶ ἐντεῦθεν αὐτοὺς παραχαυνώσαντες ἐπῆλθον ἐν νυκτί, ὅπερ ἐποίησεν ὁ χαγὰν τῶν Ἀβάρων εἰς τὰ περὶ Ἡράκλειαν τοῖς Ῥωμαίοις καβαλλαρίοις μὴ ἀνασχομένοις ἐν φοσσάτῳ ἀσφαλῶς μετὰ τῶν πεζῶν ἀπληκεύειν, ἀλλ’ ἔξωθεν ἀφυλάκτως.
9 2 4	Ἕτεροι ὑποθέμενοι τινὶ προσρυῆναι τοῖς ἐχθροῖς καὶ εἰπεῖν, ὅτι ἐν δειλίᾳ ἐστὶν ὁ στρατός, εἶτα προφασισάμενοι εἰς τὰ ὀπίσω ὑπαναχωρεῖν καὶ ὀλίγον διάστημα τὸ φοσσάτον ἤτοι ἄπληκτον μεταστήσαντες, αἰφνίδιον ἐν νυκτὶ ἐπῆλθον τοῖς ἐναντίοις. Γίνονται δὲ αἱ νυκτεριναὶ ἔφοδοι ἁρμοδίως ὑπό τε πεζῶν καὶ καβαλλαρίων τοξοτῶν μάλιστα, ἤτοι ἀκοντιστῶν κατὰ ἐθνῶν πεζῶν καὶ καβαλλαρίων, τῶν μὴ ἐν φοσσάτῳ καὶ τάξει ἀπληκευόντων, ἀλλὰ σποράδην καὶ ἀφυλάκτως σκηνούντων, καὶ κατὰ τῶν μὴ εἰδότων τόξοις ἢ ἄλλοις ἀκοντίοις κεχρῆσθαι, ἀλλ’ ἐκ χειρὸς μᾶλλον τὴν μάχην ποιουμένων.
9 2 7	Ἐν δὲ νυξὶ τοιαύταις δὲ χρὴ ἐπιτηδεύειν, τουτέστιν ἢ ἐν πανσελήνῳ, ἢ ἐπαρκοῦντος τοῦ φέγγους τῷ διαστήματι τῆς ὅλης πορείας, ἵνα μὴ ἐν σκοτίᾳ ὁ στρατὸς περιπατῶν συντρίβεται καὶ πλανᾶται, ἢ ἐν ἀστεροφώτῳ· Ἀεὶ τοίνυν ἔξπληκτον καὶ ἐμπαράσκευον τὸν στρατὸν κινεῖν, μηδὲν περισσὸν ἐπιφερόμενον, καὶ οὕτως κανονίζειν πρὸς τὰ διαστήματα τὰ ἐν τῷ μέσῳ, ὥστε, πρὸ δύο ὡρῶν τῆς ἡμέρας εὐφυῶς περιπατοῦντα εἰς τὸ μὴ συντρίβεσθαι, φθάσαι πλησίον ὡς ἀπὸ ἑνὸς ἢ δευτέρου σημείου τοῦ τῶν ἐχθρῶν ἀπλήκτου, ἐκεῖσέ τε λανθανόντως ἀναπαύειν τὸν στρατὸν καὶ πρὶν ἢ ἄρξηται αὐγάζειν ἐπιτίθεσθαι τοῖς ἐχθροῖς.
