Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 745d	ζυγώθρισον] ἐξέτασον, ἐρεύνησον ParHo, σύναξον· ἀπὸ μεταφορᾶς τῶν βοῶν Cr, σκόπησον μετὰ σταθμοῦ Ho.
book 745e	τὸ Chis “ζυγώθρισον” ἀπὸ τοῦ ζυγός , τὸ κοινῶς ζύγιν Chis, γίνεται Reg καὶ τοῦ ἀθερίζω, τὸ ἀποδοκιμάζω· ζυγοαθέρισον, καὶ κατὰ συγκοπὴν τοῦ ε Reg καὶ κρᾶσιν τοῦ ο καὶ α εἰς ω μέγα· ζυγώθρισον.
book 745f,c2	ζυγός ἐστι μὲν καὶ ᾧ ὑπόκεινται οἱ βόες, καὶ δι’ ἐκείνου τὴν ἅμαξαν ἕλ‐ κουσι· λέγεται δὲ καὶ οὗ ἐν τοῖς ἄκροις αἰωροῦνται αἱ πλάστιγγες. ζυγόθρισον οὖν, ἤγουν ζυγοστά‐ τησον h
book 745f	ταῖς σταθμαῖς Lb, [ταῖς σταθμίαις Va,] ταῖς τοῦ σοῦ h νοὸς πλάστιγξι(ν) ζυγοστάτησον l.
book 746a	φίλτατον] πάνυ ChisReg λίαν Lb ἠγαπημένον ChisRegLb, προσφιλέ‐ στατον Cant.2.
book 746b	τί] ἐστίν Pah, φῄς Lb, λέγεις Va, ζητεῖς Chalc.
book 747a	ἔχω] κρατῶ Chalc, εὗρον h.
book 747b	τόκου] καμάτου Cant.2, χρέους Va.
book 747c	γνώμην] μέθοδον Par, φροντίδα Pa, βούλευμα, ἐνθύμημα Lb, τρόπον Chalc, βουλήν F(m2).
book 747d	ἀποστερητικήν] δυναμένην ἀποστερῆσαι Lbh ἀποστερεῖν Va τόκον Lbh.
book 748a	ἐπίδειξον] εἰπὲ (cf. sch.vet. 748a) καὶ Chis φανέρωσον ChisReg Cant.2lChalc, εἰς τὸ φανερὸν δεῖξον Par.
book 748b	τὸ τί] ὑπάρχει ἡ γνώμη σου Cr; τοδί] τοῦτο lChalcb.
book 749a	φαρμακίδ’] γοητεύτριαν ChisPar, μάγισσαν Cant.2LbHo, γόησσαν l.
book 749b	πριάμενος] ἀγοράσας ChisRegParCant.2VaChalch ἢ RegHo μισ‐ θωσάμενος RegParHo, ἐὰν ἀγοράσῃς Lb.
book 749c	αἱ ἐκ Θετταλίας γυναῖκες λίαν ἦσαν γοήτων καὶ μάγων ἔργα ἐπιτε‐ λοῦσαι, καὶ μὴ μόνον αἱ γυναῖκες, ἀλλὰ καὶ οἱ ἄνδρες. φασὶ γὰρ (1) ... (2) Ἰάσωνος ... (3) ἑαυτῆς βαλάντιον ... (4) ἀπώλεσεν· ᾧ περιτυχόντες οἱ Θετταλοὶ ἐξ αὐτοῦ πάσης φαρμακευτικῆς καὶ γοητικῆς ἀνεπλήσθησαν τέχνης.
book 749d	ἐνταῦθα b διαβάλλει τὰς θετταλὰς γυναῖκας (,) ὡς διαβεβοημένας οὔσας ἐπὶ ταῖς φαρμακίαις l.
book 749d,c2	ὅτι ἦσαν αὗται διαβεβοημέναι ἐπὶ μαγείας b.
book 750	καθέλοιμι] μεταβιβάσαιμι Ho.
book 751a	καθείρξαιμ’] ἐγκλείσαιμι Chis, ἀποκλείσας Cant.2, κατακλείσαιμι LbChalcb, ἀποκλείσαιμι Va.
book 751b	λοφεῖον λέγεται Chis τὸ στρογγύλον τοῦ ἐσόπτρου δοχεῖον καὶ ... περικεφαλαίας.
book 751c	λόφος πᾶν τὸ ἀνεστηκὸς καὶ ἐξέχον, καὶ γήλοφος τὸ αὐτό, ἤγουν ὁ ἐπὶ τῇ γῇ λόφος. ἐκ τούτου δὲ λοφεῖον ἤγουν [ἤτοι] ἀγγεῖον πάντοθεν ἀνεστη‐ κὸς καὶ ἐξέχον, ὅπερ ἂν εἴη τὸ στρογγύλον.
book 751d	λοφεῖον] κασσύδ〈ιον〉 Cant.2, κασσίδιον Ho.
book 752a	κάτοπτρον] καθρέπτην Cant.2.
book 752b	τηρέω, τηρῶ, καὶ ἡ μετοχὴ ὁ τηρέων, ὁ τηρῶν, τοῦ τηρέοντος, τοῦ τηροῦντος· καὶ τὸ εὐκτικὸν τηρέοιμι, τηροῖμι, καὶ κατὰ μεταπλασμὸν τηροίην· τὸ τέλος γὰρ τοῦ εὐκτικοῦ τούτου 〈πρώτου〉 προσώπου μετεπλάσθη εἰς τέλος ἑτέρου εὐκτικοῦ Ba(m3? mrg.).
book 752c alpha	ἔχων] “οὐκ ἂν ἀποδοίην τὰ χρέα” ἔξωθεν Cr, ἀντὶ τοῦ “δοκεῖ (sic) σοι καλὰ ἐπινοήσασθαι” Cang(mrg.).
book 752c beta	ἔχων] ἐγὼ ἐκείνην Cr, αὐτήν Lb, κρατῶν Va.
book 753a	δῆτα] ἀληθῶς Cr.
book 753b	ὠφελήσειέ] ἵνα ὠφελήσει Cr.
book 753c	ὅ τι;] γράφεται καὶ κατ’ ἀπόφασιν “ὅτι” Chis.
book 754a	ἀντέλλοι] ἀντὶ τοῦ ἀνατέλλοι ChisReg, εἰς πλήρωμα Cr (ἂν τέλλοι]).
book 754b	τελουμένης γὰρ τῆς σελήνης οἱ τόκοι ἐδίδοντο· εἰ γοῦν οὐκ ἀνατέλλοι ... τοὺς τόκους.
book 754c	ἐκ τούτου δῆλον, ὅτι καὶ οἱ Ἀθηναῖοι τοὺς σεληνιακοὺς μῆνας ἐκέκτηντο, παρὰ Αἰγυπτίων τοῦτο λαβόντες h(mrg.).
book 755a	ἀποδοίην] μέλλοιμι ἀποδώσειν Par, ἵνα ἀποδώσω Cr, ἀποδώσαιμι l.
book 755b	τοὺς τόκους] τὴν ὠφέλειαν Cr, τοὺς καμάτους Cant.2, τὰ χρέη Va.
book 755c alpha	(text. ὁτιὴ τί δή) ὁτιὴ] διὰ τί ChisCr.
book 755c beta	text. (ὅτι τί δή)] διὰ τί l, γενήσεται Chalc, τί γίνεται ἐκ ταύτης τῆς ἐννοίας b; τί] πῶς Ho.
book 756a	ὁτιὴ] ὅτι ChisCant.2Vab, διότι ParLbChalc.
book 756b	τ’ ἀργύρια] γρ. τ’ ἀργύριον Chis.
book 756c	δανείζεται] ὡς δάνειον ἀπαιτεῖται Chis(paraphr.; gl. om. ἀπ.), τὸ δάνειον δίδοται, αὔξεται Par, ἡ ὠφέλεια ἕνεκα τοῦ δανείου δίδοται Cr.
book 756d	756 p.i.m.] ἐπειδὴ ... τῶν τόκων διδομένων ὡσανεὶ ἐξ ἀρχῆς πάλιν τὸ δανεῖον δίδοται Reg (cf. Th2Tr1/2 756).
book 757a	εὖ γ’] καλῶς τοῦτο ChisReg ἐσκόπησας ChisReg ἐνεθυμήθης Lb ἔχει Chalc ἐνόησας Va λέγεις h εἶπας (Cang).
book 757b	προβαλῶ] ἐρωτήσω Cr.
book 757c	δεξιόν] σοφόν Chis, ἐπιτηδεῖον ParLb, φρόνιμον Cant.2lChalc, λεπτόν Cant.2, κρεῖττον h.
book 758a	σοι] κατὰ σοῦ ChislHo.
book 758b	γράφοιτο] κατηγόροιτο ChisCrHo A, κατηγοροῖ Par.
book 758c	πεντετάλαντός] ὅτι ὀφείλεις πρός τινα πέντε τάλαντα Reg, πέντε ταλάντων· τὸ τάλαντον ἔχει λίτρας ρκεʹ καὶ λεπτὰ Ϟʹ Par.
book 758d	τάλαντον πᾶς ὁλκὸς καὶ αὐτὸς ὁ σταθμός Chis(int.).
book 758e alpha	δίκη] κατηγορία ChisCrPa, κλῆσις Pa, ἔγκλησις Chalc.
book 758e beta	δίκη ἡ δικαιοσύνη καὶ ἡ κρίσις καὶ ἡ τιμωρία l(mrg.).
book 759	ἀφανίσειας] ἐκφύγοις ChisReg, ἵνα ἀφανίσεις Cr, ἐξαλείψειας Cant.2 h, ἀφανίσεις Lb, φθείρειας lChalc.
book 760a	ζητητέον] σκοπητέον Chis, δεῖ ζητήσεως Par, ἄξιον ὑπάρχει Cr ζητῆσαι Crlh, ἐρευνητέον (Cang).
book 760b	ζητητέον: ὅταν τὰ θετικὰ ἐπιρρήματα μετὰ πτώσεως εὑρίσκωνται ἢ κειμένης ἢ ἀπὸ τῶν ἐκτὸς νοουμένης, αἱ τοιαῦται πτώσεις αἰτιατικαί εἰσιν [ἡ τοιαύτη πτῶσις αἰτιατική ἐστιν], οἷον “ποιητέον τὸ πρᾶγμα”, “ζητητέον τὸν λόγον”, ἄνευ τινῶν σεσημειωμένων.
book 761a	νῦν] περισσόν Cr.
book 761b	εἷλε] σύστελλε Chis, σύστρεφε, σφ[ίγγε] Cr(hoc m3), λάμβανε lb.
book 761c	εἱλέω, εἱλῶ τὸ στρέφω παρὰ τοῖς κοινοῖς περισπωμένως, εἵλω δὲ βαρυτόνως παρὰ τοῖς ποιηταῖς.
book 761d	εἷλε] γρ. καὶ ἴλλε Vt(m2).
book 761e	γνώμην] διάνοιαν Chis, νοῦν Cant.2 Pa, τρόπον Chalc.
book 762a alpha	ἀποχάλα] ἐνδίδου ChisParChalc (cf. sch.vet. 762), ἀπόλυε Cr (Cang), ὑποδίδου l, ἄφες Ho, καταβίβαζε Vab (ὑποχάλα] lChalcb).
book 762a beta	ἀποχάλα ... ἀέρα] ἤγουν εἰς διάλυσιν δίδου σαυτόν (Cang).
book 762b	ἀλλ’ ὑποχάλα: ὥσπερ ἀπὸ ὕψους τινὸς καταβίβαζε. ἐπεὶ γὰρ καὶ ἀνωτέρω τοῦ ἀέρος ἄνεισιν ὁ ἡμέτερος νοῦς καὶ φροντίζει περὶ τῶν θείων, φησίν· εἰ ἄνεισιν ὁ σὸς νοῦς ἐπὶ μεγάλα τινὰ ζητήματα καὶ φροντίζει περὶ αὐτῶν, καὶ οὐ δύναται καταλαμβάνειν αὐτὰ ὡς ὑψηλὰ καὶ μεγάλα, καταλίμπανε ταῦτα καὶ μετάβαινε ἐπὶ τὰ εὐληπτότερα καὶ μετριώτερα ζητήματα.
book 762c	φροντίδ’] νόημα Chis, διάνοιαν Reg, σκέψιν Par, μέριμναν Cant.2.
book 763a	μηλολόνθην: ἀπὸ τοῦ “μήλῳ ... (19) ἤτοι τὴν κόπρον, τουτέστι σφαιροειδῆ· ὄνθος δέ ἐστιν ἡ κόπρος· ἢ (20) ... (20) μῆλον, τὸ ... (21) ὄνθος, ἡ κόπρος, ἤγουν ἡ ... (22) τὴν τ. πρ. ὄνθον σφαιρίαν ἤγουν στρογ‐ γυλοειδῆ.
book 763b	μηλολόνθην] τὴν κοινῶς ζίτζιρον Chis, ζίναν Cant.2.
book 763c	τοῦ] ἀπό ChisRegParCr, ἐκ lh.
book 764a	εὕρηκ’] ἐνόησα ChisRegLb, ἐπενόησα b, ἐξεύρηκα Pa, εὗρον Va, ἐμηχανησάμην Ho.
book 764b	ἀφάνισιν] ἀποφυγήν ChisReg (= sch.vet. 764), ἀφανισμόν Par Lbb, στέρησιν, ἐξάλειψιν Cant.2, φθοράν VaChalc, ἀποτροπήν Ho.
book 764c	δίκης] κατηγορίας Chis, κρίσεως Cant.2b, τιμωρίας (Cang).
book 764d	σοφωτάτην] φρονιμωτάτην Pa, λίαν σοφήν lChalcb.
book 765	ὁμολογεῖν] συνομολογεῖν ChalcBa(m2).
book 766a	ἤδη] πάλαι ποτέ Chis.
book 766b	φαρμακοπώλαις] γυναιξί lb (text. ταῖσι φ. (etiam Chalc); τοῖσι φ. Ho).
book 766c	φαρμακοπῶλαι ... (6) τά γε λυσιτελοῦντα ... παρὰ τοῖς παλαιοῖς δὲ ... τιμαλφεῖς τουτέστι πολυτίμους ... (7) φαρμακοπῶλαι ἐλέγοντο ... (8) καινοτέραν δύναμιν.
book 766d	τὴν λίθον] τὴν κρύσταλον (cf. sch.vet. 766) ἢ τὴν ὕαλον Cr, τὴν σπέκλ〈ον〉 Cant.2 (τὴν ubicunque).
book 767a	ἑώρας (ex ἑώρακας)] ἀντὶ τοῦ ἑώρασας κατὰ συγκοπήν Reg.
book 767b	διαφανῆ] λαμπράν ChisCrlChalch, στιλπνήν (Cang).
book 767c	διαφανὲς λέγεται τὸ λαμπρὸν καὶ καθαρόν, δι’ οὗ διέρχεται ἡ διαύγεια τοῦ φωτός h(mrg.).
book 768a	ἀφ’ ... ἅπτουσι] ἤγουν τὴν κρύσταλον Chis.
book 768b	ἅπτουσι] ἀνακαίουσι Cr, ἀνάπτουσι Chalc.
book 768c	τὴν ὕαλον] τὴν ὑέλινον b (ὑελῑνον Ba, ὑἐλῑνον Harl.5).
book 768d	ὕαλον ἡμεῖς μὲν ἀρτίως τὸ ἐκ βοτάνης τινὸς καιομένης καὶ διὰ πυρὸς τηκόμενον εἰς κατασκευὴν ἀγγείων τινῶν λέγομεν· οἱ παλαιοὶ δὲ τὴν διαφανῆ λίθον αὐτόν, τὸν ἰδιωτικῶς λεγόμενον κρύον, ἐοικότα δὲ ὑάλῳ.
book 769a	τί δῆτ’ ἂν] ὠφελήσειέ σε δηλονότι Chis, ὠφελήσει σε Lb, ποιήσεις δι’ αὐτῆς Va, ἐκ ταύτης ποιήσῃς b (de text. cf. ThTr 769).
book 769b	λαβὼν] κρατήσας Va.
book 770a	γράφοιτο] ἀντὶ τοῦ γράφει [γράφοι] ChisReg, γράψει Lb.
book 770b	δίκην] κατηγορίαν Chis, κρίσιν lChalc, τὴν δίκην τὴν πεντετάλαν‐ τον h.
book 770c alpha	γραμματεὺς κυρίως Reg ὁ τοῦ δήμου ὁ κοινῶς ταβουλάρ〈ιοσ〉· [, ὃς ῥωμαϊκῶς ταβελλίων καλεῖται·] ὑπογραφεὺς ὁ τοῦ βουλευτηρίου καὶ τῶν κριτῶν Reg· γραμματιστὴς δὲ ὁ χαμαιδιδάσκαλος ἤτοι ὁ τὰ στοιχεῖα καὶ τὴν λοιπὴν προπαίδειαν παραδιδούς.
book 770c beta	γραμματεύς] ὃς καὶ ἐκσκέπτωρ καλεῖται Cr (cf. sch.vet. 770), ὁ γραφεὺς τῶν δικῶν Lb, ὁ γραμματικός Chalc.
book 771a	ἀπωτέρω] πόρρω Chis, πορρωτέρω Reg, κατ’ ἐναντίας Par, μακράν CrCant.2lb που Cant.2 ἀντικρύ b, μακρόθεν Ho (ἀπο–]lChalc).
book 771b	ἀποτέρω: ἀπὸ τοῦ ἄπο Va ἐπιρρήματος γίνεται, ὃ μόνον τῶν ἄλλων Lb τοπικῶν ἐπιρρημάτων γράφεται διὰ τοῦ ο μικροῦ, ὡς τῆς ἀπο προθέσεως μεταβεβλη‐ μένου τοῦ τόνου τὸ τοιοῦτον ἀποτε‐ λούσης ἐπίρρημα.
book 771b,c2	ὡς μεταβεβλημένου τοῦ τόνου τῆς ἀπὸ προθέσεως εἰς ἀναβιβασμόν, ἀφ’ ἧς γίνεται τὸ ἐπίρρημα.
book 771c	πρὸς] ἀντικρύ Lb (b ad ἀπωτέρω).
book 772a	ἐκτήξαιμι] κατακαύσαιμι Reg, διαλύσαιμι Cant.2.
book 772b	τήκω τὸ φθείρω καὶ ἀφανίζω· κυρίως δὲ λέγεται ἐπὶ κηροῦ καὶ χιόνος h(mrg.).
book 772c	δίκης] κατηγορίας ChisPa, κρίσεως Cant.2VaChalc.
book 773a	σοφῶς] ἀστείως λέγεις Chis, φρονίμως Cant.2, ἐπενόησας Lbb τοῦτο Lb, συνετῶς ἐποίησας Va, εἶπας Chalc.
book 773b	οἴμ’] ἐπὶ χαρᾶς ChisPaChalc (hic ὤμ’]), “οἴμοι” ἐπὶ χαρᾶς καὶ ἐπὶ λύπης λέγεται h(mrg.), φεῦ Va.
book 773c	τῷ μὲν (7) ... ἀρεσκόμενος ... (9) τοῦ χάρτου ... (11) δὲ τοῦ ... καθάπτεται ὁ ποιητὴς κωμῳδῶν ... (15) τοίχῳ.
book 774	σημείωσαι “διαγέγραπται” b(mrg.; habet, ut alii, gl. ex Th1/2 Tr1/2 ductam: ἠφάνισταί μοι).
book 775a	ἄγε] εἴα Chis, φέρε CrChalch.
book 775b	ξυνάρπασον] ὀξέως CrLb λάβε Crh νόησον lh, κατάλαβε Pa.
book 775c alpha	τὸ τί] ποῖον Cant.2LbChalch.
book 775c beta	τὸ] περισσόν Cr.
book 776a	ἀποστρέψῃς Chis –αις Lbb [ἀποτρέψῃς]] ἀποφύγῃς Chis (cf. sch. vet. 776a), ἀποφεύξῃς Reg, ἐκφύγοις Lbb ἄν Lb.
book 776b	ἀντιδικῶν] ἐναντιούμενος Chis (cf. Tz 776a, 1. 15), ἀντικρίσεων Cant.2, ἀντιλέγων τοῖς δικαίοις Lb, ἀντιδικαζόμενος b.
book 776c	ὅπως ἀποστρέψαις: ὅπως ἤγουν l πῶς καὶ τίνι τρόπῳ ἀποστρέ‐ ψαις ἤτοι ἐκφύγοις ἂν δίκην ἀντιδικῶν ἤγουν ἀντιλέγων τοῖς δικαίοις [ἀντι‐ δικαζόμενος] μὴ παρόντων σοι μαρτύρων ἐν τούτῳ [τῶν σοι δηλονότι συνη‐ γορησόντων] μέλλων ὀφλήσειν δίκην δηλονότι l ἤτοι μέλλων l δικάσασθαι. [δικασθῆναι.]
book 776d	ἀποστρεψείας] ἀποστρέψαις Va (script. ut text., non ut gl.).
book 777a	ὀφλήσειν] καταδικασθῆναι ChisReg (= sch.vet. 777a), χρεωστή‐ σειν Cant.2lh, δίκην δηλονότι Pa, δοῦναι ταὐτόν Chalc.
book 777b	παρόντων] παρέλκον Cr (sc. παρ–).
book 777c	μαρτύρων] συνηγορησόντων h σοι b.
book 778a	φαυλότατα] εὐκολώτατα ChisChalc (cf. sch.vet. 778), λίαν εὐκόλως l, διὰ μικρᾶς τινος ἐπινοίας Reg, εὐτελέστατα CrCant.2, κακότατα (sic) Ho(m2).
book 778b	ῥᾷστ’] συντόμως Chis, πάνυ h εὐκόλως Crh, εὐκολώτατα Cant.2.
book 779a	ἐνεστώσης] ἱσταμένης Chis, ἐνισταμένης Lb, ἐγηγερμένης Cr, κρινομένης Cant.2, ὑπαρχούσης PaVah.
book 779b	δίκης] κρίσεως ChisRegLbChalc.
book 779c	ἤγουν πρότερον ἔτι μιᾶς δίκης ἐνεστώσης πρὸ τοῦ καλεῖσθαι τὴν ἐμὴν δίκην δηλονότι τρέχων ἀπαγξαίμην ἤγουν πνιγοίην h(fast. b).
book 780	ἀπαγξαίμην] ἀποπνιγοίην Chis, πνιγοίην Lbb ἄν Lb, πνιγῆναι Par.
book 781	ἔγωγ’] καλῶς λέγω δηλονότι ChisRegCr (cf. sch.vet. 781), ἀληθῶς λέγω Cant.2, ἐγὼ λέγω h, ναί Lb.
book 782a	θείνω, θενῶ, καὶ ῥῆμα εἰς μι θνῆμι· ὁ μέλλων θνήσω, ὁ παρακείμενος τέθνεικα, καὶ ἐκβολῇ τοῦ κ τέθνεια καὶ ἐκλείψει τοῦ ι τέθνεα, ἡ μετοχὴ ὁ τεθνεώς Cr(mrg.).
book 782b	δίκην] κατηγορίαν Chis, κρίσιν Cant.2l.
book 783a	ὑθλεῖς] ὕθλος ... ληρό[της, φληναφία] (Hesch. s.v. ὕθλος, Y 116 Schm.) Vict.
book 783b alpha	ἄπελθ’] ἄπαγε Cr, φθείρου Ho(Tz1 783b; ad ἄπερρ’ RegPar lChalcb).
book 783b beta	ἄπερρ’] ἀποφθείρου ... φθορᾶς (Hesch. s.v. ἄπερρε, A 6024) Vict.
book 783c	ἄπερρε: [ἄπερε:]] ῥῶ τὸ φθείρω, καὶ κατὰ προσθήκην [πλεονασ‐ μὸν] τοῦ ε ἔρρω καὶ ἐκ τούτου ἄπερε Va.
book 784	ὁτιὴ τί] διὰ τί ChisRegCant.2lHo Cr(hic ad τί]) (cf. sch.vet. 784) οὐ διδάξεις RegChalc ἐμέ Chalc.
book 785a	εὐθὺς] ἐκ τοῦ Reg παραυτίκα ChisRegCrCant.2, εὐθέως LbChalc.
book 785b	ἐπιλήθῃ (–ει)] ἐπιλανθάνῃ ChisReg(hic –νει) PalChalcb, λανθάνῃ τούτων Ho, ἐπιλανθάνεται Cant.2, ἐπιλήσμων εἶ Cr.
book 785c	ἄμεινον ἀπὸ τῶν ἐκτὸς ζητεῖν γενικήν, πρὸς ἣν ἂν ἀποδοθείη τὸ “ἐπιλήθῃ”, οἷον· ἀλλ’ εὐθὺς ἐπιλανθάνῃ [ἐπιλανθάνει] σὺ ἐκείνων, ἅτινα καὶ μάθοις ἄν. τὸ γὰρ ἐπιλανθάνομαι μετὰ γενικῆς συντάσσεται μάλιστα.
book 785d	καὶ] παρέλκον Cr.
book 786	ἐδιδάσκου] γρ. ἐδιδάχθης Reg.
book 787a alpha	φέρ’ ἴδω] ἄγε ἵνα ἴδω ChisCant.2l(hic ἵνα tantum) Chalc(hic ἄγε tantum)h.
book 787a beta	καθ’ ἑαυτὸν RegCrChalc τοῦτο λέγει Reg φησί Chalc.
book 787b	μέντοι] ἀργόν Cr(sc. –τοι), ὅμως VaChalc.
book 788a	ματτόμεθα] ἐφυρῶμεν Chis, ἐζυμόναμεν Par(quasi ’ματτ–]), ἐζυμοῦμεν l(’ματτούμεθα]), ζυμοῦμεν RegChalcb(hi duo ματτούμεθα]), ζυμῶμεν Cant.2, ζυμούμεθα Ho.
book 788b	μέντοι] ἀργόν Cr(ut 787b), ὅμως Va.
book 788c	τἄλφιτα] τὰ ἄλευρα CrChalcVah.
book 789a	τίς ἦν] πῶς ὠνομάζετο Cant.2.
book 789b	ἐς κόρακας] εἰς ἀπώλειαν Chis, ἄπιθι Cr, εἰς τὸν τόπον τῶν κακουρ‐ γῶν Chalc.
book 789c	ἀποφθερῇ (–εῖ)] μετὰ φθορᾶς ἀπελεύσῃ ChisReg, μεταφθείρῃ Par, ἀφανίζεσαι Cr, ἀφανισθήσῃ Cant.2, ἀπελθὼν Lb φθαρήσῃ l, διαφθάρῃς Ho.
book 790a	ἐπιλησμότατον] ἀναίσθητον Cr, λήθης l ἔμπλεων Lb μεστόν Va, λίαν ἐπιλανθανόμενον Chalc, λήθαργον (Ca 2).
book 790b	σκαιότατον] ἀπαίδευτον Cr (= sch.vet. 790b), ἀπαιδευτότατον Cant.2lh, ματαιότατον Chalc.
book 791	δῆθ’] ἀργόν Cr, ἀληθῶς LbChalc.
book 792a	ἀπὸ ... ὀλοῦμαι] ἡ ἀπό καθ’ ὑπερβασίαν συντάσσεται Cr (cf. sch. vet. 792a).
book 792b	γλωττοστροφεῖν] συστρέφειν τὴν γλῶτταν Cr, στρέφειν ἤγουν ἀπο‐ κρούεσθαι τοὺς λόγους Lb τὴν γλῶτταν ἐν τῷ διαλέγεσθαι Va ἤγουν κινεῖν τὴν γλῶτταν κατὰ τῶν ἀντιδίκων b, ψεύδεσθαι ἢ λέγων τὰ ἄδικα νικᾶν Chalc.
book 793a	χρηστόν] ὠφέλιμον ChisRegVa, ἀγαθόν CrCant.2LbChalch, συμ‐ φέρον Lbh.
book 793b	συμβουλεύσατε] μετὰ συμβουλῆς δότε μοι ἀγαθόν τι Cr, τί δεῖ με ποιεῖν Cant.2.
book 795	ἐκτεθραμμένος] ἐνήλικος ChisRegHo, εἰς τελείαν ἡλικίαν Par, ἀπὸ βρέφους ἡλικίας ὑπάρχων σοί Cr, ἀνατεθραμμένος lb.
book 796	μανθάνειν] ὥστε ChisCrLbChalch μανθάνειν b, εἰς τὸ μανθάνειν ἤγουν τὴν παίδευσιν Ba(m2).
book 797	καλός] εὔμορφος CrHo, τῷ σώματι Cant.2, ὡραῖος Chalc.
book 798a	ἀλλ’] ἀλλὰ τί πάθω ἐγώ Par (cf. Tr2 798), περισσός Pa.
book 798b	γὰρ] τὸ “γὰρ” καθ’ ὑπέρβατον Cr.
book 798c	μανθάνειν] διδάσκεσθαι h.
book 798d	τί] γρ. τί δ’ Chis.
book 798e	τί ... πάθω] ἵνα πάθω Chis, ἀντὶ τοῦ “τί Reg ἵνα ποιήσω” Reg Pa, τί ποιήσω Cr, ἵνα lChalc, ποιήσω Ho.
book 799a	ἐπιτρέπεις] παραχωρεῖς (Tz 791, 1. 11) ChisReg μὴ μανθάνειν Chis RegCr αὐτόν ChisReg, ἄδειαν δίδως Par (–δεις cod.) Va, παρακινεῖς Cant.2, βούλει μαθεῖν ἐκεῖνον Lb, συγχωρεῖς Chalc (cf. sch.vet. 799a), τοῦτον μανθά‐ νειν Ho, μαθεῖν b.
book 799b	ἐπιτρέπω καὶ προτρέπω τὸ ἐνδίδωμι, ἀποτρέπω δὲ τὸ ἐναντίον· μετα‐ τρέπω δὲ καὶ ἐκτρέπω Va τὸ μεταποιῶ καὶ μεταβάλλω ἐκ τούτου εἰς τοῦτο.
book 799c	εὐσωματεῖ] ἰσχυρός ἐστιν Chis, γενναῖον σῶμα Par(non plura), πιαίνει τὸ σῶμα Cant.2, ἐπιμελεῖται τοῦ σώματος Vah .
book 799d alpha	σφριγᾷ] ἀνθεῖ Vat(m2) (ἄνθει cod.), σφαδάζει ParLbh, ἐπαί‐ ρεται Par, νεάζει Vat(m2) Pa, βλακεύεται, ὀργοῦται (sic) Chalc.
book 799d beta	τὸ h σφριγᾶν καὶ σφαδάζειν Va κυρίως h λέγεται ἐπὶ ἀνθρώπων καὶ ζῴων h, ὅταν lh ἐν ἀκμῇ σώματος ὢν ὁ ἄνθρωπος ἢ τὸ ζῷον Va ὁρμὴν καὶ κίνησιν Lb ἐνδείκνυταί τις γενναίαν καὶ οἱονεὶ Lb δυσκάθεκτον, [ἀκάθεκτον.] ὃ λέγεται καὶ σφαδάζειν Lb.
book 799d beta,c2	ἐν τῇ τῆς ἡλικίας ἀκμῇ ὄντα δυσκά‐ θεκτον ὁρμὴν ἔχωσιν, ἐφ’ ὃ ἂν βού‐ λωνται ἐλθεῖν.
book 800a	εὐπτέρων] ἐνδόξων Par, ἐπηρμένων CrPa.
book 800b	τῶν] καταγομένων ChisRegCr(in hoc dub.)l.
book 800c	τῶν Κοισύρας] γυνὴ ἀττικὴ ὑπερήφανος καὶ καλλωπίσμασι πολλοῖς χαίρουσα Chis, τοῦ καλλωπισμοῦ Cant.2.
book 800d	ἐκ ταύτης τῆς Κοισύρας ἡ ... κατήγετο δηλονότι, καὶ διὰ τοῦτο εὐγενίζει ἑαυτὴν δι’ αἰτίαν τοιαύτην.
book 801a	μέτειμί] ἀντὶ τοῦ εἰς ... πορεύσομαι Chis (cf. Tz 801a, 1. 3 sq.), μεταχειρίζομαι Cant.2, μετελεύσομαι lh ἐν μεταχειρίσει Va, ἀποπορεύσομαι Chalc, εἶμι δὲ πρὸς αὐτὸν τὸν Φειδιππίδην· ἡ μετά ἀντὶ τοῦ πρός Ba(m3mrg.).
