Fragments on the Palici and Thebes
Ἀποσπάσματα περὶ Παλικῶν καὶ Θηβῶν
by Aeschylus the Tragedian
eul_wid: emo-ah    eul_aid: emo

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The Fragments on the Palici and Thebes is a modern scholarly designation for a collection of 1240 fragmentary passages attributed to the lost plays of Aeschylus. These fragments, drawn from approximately eighty lost tragedies in addition to his seven surviving works, are compiled in modern critical editions such as Stefan Radt’s Tragicorum Graecorum Fragmenta. The title references two distinct mythological cycles treated by Aeschylus: the Sicilian chthonic deities known as the Palici, and the stories of the Theban cycle. The fragments are preserved indirectly through quotations by later Greek authors such as Strabo and Athenaeus, through papyrus discoveries, and via ancient plot summaries.

Collectively, these fragments illustrate the vast thematic and geographical scope of Aeschylean drama. Inferred subjects from play titles and the fragmentary content include divine justice and retribution, the nature of chthonic powers and associated cult practices, foundational city myths and civic strife as seen in Theban narratives, and profound familial conflicts. The material is particularly significant for demonstrating the interplay between Athenian tragedy and the wider Greek world, especially in its engagement with Sicilian religious cult. These remnants are crucial for understanding the breadth of classical Athenian tragedy, the development and treatment of major mythological cycles, and the extensive influence of Aeschylus on subsequent literature.

Text
----

book 1*.1	τὸν μὲν
book 168b**.1	...[ln_1][ ]....νοσ[ []μα̣ λ̣έλακ[ []νόσ̣ο̣ι̣σιν []τ̣ι̣[.]ε
book 168b**.2	φράζ̣ω[ln_5][]..έχεσθε [ ¨´].ει· [ ]..·[ln_7]...
book 169.1	[spk_λυσσα]ΛΥΣΣΑ (ἐπιθειάζουσα
book 169.2	ταῖς Βάκχαις)· ἐκ
book 169.3	ποδῶν δ’ ἄνω ὑπέρχεται
book 169.4	σπαραγμὸς εἰς ἄκρον κάρα, κέντημα γλώσσης, σκορπίου βέλος λέγω
book 170.1	ἃς οὔτε πέμφιξ ἡλίου
book 170.2	προσδέρκεται οὔτ’ ἀστερωπὸν ὄμμα Λητῴας κόρης
book 171.1	κάμακες
book 171.2	πεύκης οἱ πυρίφλεκτοι
book 172**	τῶνδε βούλευτις πόνων
book 172a	ἀναγκόδακρυς
book 174.1	(ad Thetin) δέσποινα
book 174.2	πεντήκοντα Νηρῄδων κορᾶν
book 175.1	(ad Ulixem) ἀλλ’ Ἀντικλείας ἆσσον ἦλθε Σίσυφος, τῆς σῆς λέγω
book 175.2	τοι μητρός, ἥ ς’ ἐγείνατο
book 176	ἁπλᾶ γάρ ἐστι τῆς ἀληθείας ἔπη
book 177	τί γὰρ καλὸν ζῆν †βίον† ὃς λύπας φέρει;
book 177a	καὶ διὰ πλευμόνων θερμὸν ἄησιν ὕπνον
book 179.1	[spk_〈οδ.〉]〈ΟΔ.〉 Εὐρύμαχος †οὐκ ἄλλος† οὐδὲν ἡσσον〈–〉 ὕβριζ’ ὑβρισμοὺς οὐκ ἐναισίους ἐμοί· ἦν μὲν γὰρ αὐτῷ †κότταβος ἀεὶ† τοὐμὸν κάρα, τοῦ δ’ ἀγκυλητοῦ κοσσάβιός ἐστιν
book 179.2	σκοπὸς?[ln_5]〈×〉 ἐκτεμὼν(?) ἡβῶσα
book 179.3	χεὶρ ἐφίετο
book 180*.1	〈ΟΔ.〉 × – ὅδ’ ἔστιν, ὅς
book 180*.2	ποτ’ ἀμφ’ ἐμοὶ βέλος γελωτοποιόν, τὴν κάκοσμον οὐράνην, ἔρριψεν οὐδ’ ἥμαρτε· περὶ δ’ ἐμῷ κάρᾳ πληγεῖς’ ἐναυάγησεν ὀστρακουμένη[ln_5]χωρὶς μυρηρῶν
book 180*.3	τευχέων
book 180*.4	πνέους’ ἐμοί
book 181.1	τίνος κατέκτας ἕνεκα
book 181.2	παῖδ’ ἐμὸν βλάβης;
book 181a**.1	[spk_〈παλ.〉]〈ΠΑΛ.〉 ἔπειτα πάσης Ἑλλάδος καὶ ξυμμάχων βίον διῴκης’ ὄντα
book 181a**.2	πρὶν
book 181a**.3	πεφυρμένον θηρσίν θ’ ὅμοιον· πρῶτα μὲν τὸν πάνσοφον ἀριθμὸν ηὕρηκ’ ἔξοχον
book 181a**.4	σοφισμάτων
book 182*.1	[spk_παλ]ΠΑΛ. καὶ ταξιάρχας †καὶ στρατάρχας καὶ ἑκατοντάρχας† ἔταξα, σῖτον δ’ εἰδέναι διώρισα, ἄριστα, δεῖπνα δόρπα θ’ αἱρεῖσθαι
book 182*.2	τρίτα
book 182a*.1	I τούτων τὴν εὕρεσιν καὶ Παλαμήδῃ προσῆψεν (sc. Aeschylus): ἴσως δὲ κἀκεῖνος ἐκ
book 182a*.2	Προμηθέως | II ταύτην τὴν εὕρεσιν καὶ Παλαμήδῃ προσῆψεν· ἴσως δὲ κἀ‐ κεῖνος ὑπὸ Προμηθέως ἔμαθε
book 182a*.3	ταῦτα | III καὶ μὴν
book 182a*.4	ταύτην τὴν εὕρεσιν
book 182a*.5	Παλαμήδῃ προσῆψεν· ἴσως δὲ κἀκεῖνος ὑπὸ τοῦ Προμηθέως ἔμαθε
book 182a*.6	ταῦτα
book 183.1	[ln_1]μηδ’ αἵματος πέμφιγα
book 183.2	πρὸς πέδῳ βάλῃς
book 184	ποῦ μοι τὰ πολλὰ δῶρα κἀκροθίνια; ποῦ χρυσότευκτα κἀργυρᾶ σκυφώματα;
book 185.1	ἀργυρηλάτοις κέρασι
book 185.2	χρυσᾶ στόμια
book 185.3	προσβεβλημένοις
book 186.1	τέθηνκεν αἰσχρῶς
book 186.2	χρημάτων ἀπαιόλῃ
book 187	[ln_1][spk_〈οδ.〉]〈ΟΔ.〉 ἐγὼ γένος μέν εἰμι Κρὴς ἀρχέστατον
book 187a.1	ἐξευλαβοῦ δὲ μή σε
book 187a.2	προσβάλῃ στόμα πέμφιξ· πικρὰ γὰρ †καὶ οὐ διὰ ζωῆς ἀτμοί†
book 188	πολλοῖς γάρ ἐστι κέρδος ἡ σιγὴ βροτῶν
book 188a	....]ων δυσκελάδων
book 189	χέρσα
book 189a*	[spk_προμ]ΠΡΟΜ. ἵππων ὄνων τ’ ὀξεῖα καὶ ταύρων γένος δοὺς (sc. ego) ἀντίδουλα καὶ πόνων ἐκδέκτορα
book 190.1	[spk_χορος]ΧΟΡΟΣ· (......) ἥκομεν (......) τοὺς
book 190.2	σοὺς ἄθλους
book 190.3	τούσδε, Προμηθεῦ, δεσμοῦ τε πάθος τόδ’ ἐποψόμενοι
book 191.1	[spk_chorus]ΧΟ. πῇ μὲν δίδυμον
book 191.2	χθονὸς Εὐρώπης μέγαν ἠδ’ Ἀξίας τέρμονα Φᾶσιν
book 192.1	[spk_〈χο.〉]〈ΧΟ.〉 φοινικόπεδόν τ’ ἐρυθρᾶς ἱερὸν
book 192.2	χεῦμα θαλάσσης
book 192.3	χαλκοκέραυνόν
book 192.4	τε παρ’ Ὠκεανῷ λίμναν
book 192.5	παντοτρόφον Αἰθιόπων,[ln_5]ἵν’ ὁ παντόπτας Ἥλιος αἰεὶ χρῶτ’ ἀθάνατον κάματόν θ’ ἵππων θερμαῖς ὕδατος μαλακοῦ προχοαῖς ἀναπαύει
book 195*.1	[spk_〈προμ. (]〈ΠΡΟΜ. (ad Herculem)·〉[ln_1]εὐθεῖαν ἕρπε τήνδε. καὶ πρώτιστα μὲν βορεάδας ἥξεις
book 195*.2	πρὸς
book 195*.3	πνοάς, ἵν’ εὐλαβοῦ βρόμον καταιγίζοντα, μή ς’ ἀναρπάσῃ δυσχειμέρῳ πέμφιγι
book 195*.4	συστρέψας ἄφνω
book 196	〈ΠΡΟΜ. (ad Herculem)·〉[ln_1]ἔπειτα δ’ ἥξεις δῆμον ἐνδικώτατον 〈× –〉 ἁπάντων καὶ φιλοξενώτατον, Γαβίους, ἵν’ οὔτ’ ἄροτρον οὔτε γατόμος τέμνει δίκελλ’ ἄρουραν, ἀλλ’ αὐτόσποροι[ln_5]γύαι φέρουσι βίοτον ἄφθονον βροτοῖς
book 198*.1	ἀλλ’ ἱππάκης βρωτῆρες εὔνομοι
book 198*.2	Σκύθαι
book 199.1	[spk_προμ. (]ΠΡΟΜ. (ad Herculem, viam a Caucaso ad Hesperides docens)·[ln_1]ἥξεις δὲ Λιγύων εἰς ἀτάρβητον
book 199.2	στρατόν· ἔνθ’ οὐ μάχης, σάφ’ οἶδα, καὶ θοῦρός
book 199.3	περ ὢν μέμψῃ· πέπρωται γάρ
book 199.4	σε καὶ βέλη λιπεῖν ἐνταῦθ’· ἑλέσθαι δ’ οὔτιν’ ἐκ γαίας λίθον[ln_5]ἕξεις, ἐπεὶ πᾶς χῶρός ἐστι μαλθακός. ἰδὼν δ’ ἀμηχανοῦντά ς’ οἰκτερεῖ πατήρ, νεφέλην δ’ ὑποσχὼν νιφάδι γογγύλων πέτρων ὑπόσκιον θήσει
book 199.5	χθόν’· οἷς ἔπειτα σὺ βάλλων διώξῃ ῥᾳδίως Λίγυν
book 199.6	στρατόν
book 200*	[spk_ηρ]ΗΡ. Ἀγρεὺς δ’ Ἀπόλλων ὀρθὸν ἰθύνοι βέλος
book 201*.1	[spk_προμ. (]ΠΡΟΜ. (de Hercule [an ad Herculem?], qui eum sospitaverat)· ἐχθροῦ πατρός μοι
book 201*.2	τοῦτο φίλτατον τέκνον
book 203	ἀρειθύσανοι
book 204	εἰσαφάσματα
book 204a**.1	[ ] [ ]φ̣εγγος· [] [].τοτε[ln_5][]ηριον· []ς [] []ν [][ln_10][].φλεκτο[ [ ] [ ].ς
book 204a**.2	τοδ̣ε [ ]παντελε[ ] [ ]μ..ις̣[ln_15][ ]σος̣.[ [ ]πων[ []..φαι[ [ ] [ [ ]..(.)[[ln_20][ ].ν[[ln_20]...
book 204b**.1	[spk_(][ σ̣ί̣α̣ δέ μ’ εὐμενὴς
book 204b**.2	χορεύει χάρις (στρ.) φ[α]ε̣ν̣ν[ὸ]ν 〈⏑ –〉 χιτῶν̣α πὰρ̣ πυρὸς ἀκάματον αὐγάν. κλυοῦς’ ἐμοῦ δὲ Ναΐδων
book 204b**.3	τις
book 204b**.4	παρ’ ἑσ‐
book 204b**.1	[ln_5][spk_ἐφύμν]⸏τιοῦχον σέλας
book 204b**.2	πολλὰ διώξετ̣αι̣. Νύμφας δέ τοι πέποιθ’ ἐγὼ ἐφύμν. στήσει[ν] χ̣οροὺς ⸏Προμηθ̣έ̣ω̣ς δῶ[ρ]ον ὡς
book 204b**.3	σεβούσας. κα̣λ̣[ὸ]ν̣ δ’ ὕ̣μνον̣ ἀ̣μφὶ τὸν δόντα μολ‐ ἀντ.[ln_10]πάσε̣ιν̣ [.]ο̣λ̣[...]ω̣ λεγούσας τόδ’ ὡς
book 204b**.4	Προμηθε[ὺς βρο]τ̣οῖς
book 204b**.5	φερέσ̣βιός τ̣.[...].[] σπευσίδωρ̣[ος. χορεύσειν .[......]νί̣’ ἐλπὶς ὡ‐ 〈—〉 ρ]ίου
book 204b**.6	χε̣[ί]ματ̣[ος ...]ερ.ι̣χ̣[..]..·[ln_15]Νύμφ⸥ας δέ τ̣⸤οι⸥ π̣έπ̣⸤ο⸥ιθ̣’ ἐγὼ ἐφύμν. στήσε⸥ιν
book 204b**.7	χοροὺ̣ς̣ 〈—〉Προμ⸥η⸤θ⸥έως δῶρ̣ον ὡς̣ σ̣εβ̣ούσα⸤ς. [ ]α̣ι
book 204b**.8	ποι̣μέν̣[.]ς
book 204b**.9	πρ̣έπει̣ν̣ [ ]το νυκτ̣ι̣π̣λ̣αγ‐[ln_20]κτ ]...[..]σι̣ν ἐπ̣ιστε[ []ορ[.]μεν[ []..[..]μ̣εν[ []ν· []β̣[α]θ̣υξυλο̣[[ln_25][]..[..]· [].[[ln_26]...
book 204c**.1	θελους.[ .λ̣ε̣ιμών̣[.]...[ >..ι̣ χορευμασ[ ἱερὰ δ’ ἀκ̣τ̣ὶ̣ς
book 204c**.2	σελ̣[[ln_5]τ]η̣λέγνω̣τον ν.[ ἀ̣[ν]τ̣ισέλην̣ο̣ν̣ [ .[.]ς.ι· τ....[ [ [[ln_10][ [ .[ ωπ[ .[[ln_15]υ[ .[ θ̣[ αν[ κ’ ε[[ln_20]..[ .[ σκη[ ηδ[ ο̣τι̣[[ln_25]κα[ κε[ β.[ ⸏[ ]μ̣[[ln_29]...
book 204d**,2	...[ln_1][ ].υν[ []ω̣ρο[ [ ]δαν[ [ ]θε̣ο̣[[ln_5][ ].κ[[ln_5]...
book 204d**,3	...[ln_1][]ι̣[ ⸏χε[ ἀ̣π[ τ..[[ln_5]γε̣[[ln_5]...
book 204d**,4	...[ln_1][ ].ο̣ιακ̣ω̣[ [ ].ιτ....[ [ ]ορευεισ̣[ [ ]δεσμων.[[ln_5][]..ο̣κλαιεισο.[ [ ]υ̣ωζην̣.τ̣.[ [ ]τ̣.ς̣..[ [ ]..[[ln_8]...
book 204d**,5	...[ln_1][ ].[ [ ]ι.[.]κ[ [ ]ορχημα̣[ [].οις..[[ln_4]...
book 204d**,6.1	...[ln_1][ ].ο.[ [ ]...ν[..].[ [ ].[.].ο[.]..[ [ ]δ’ έμ...[[ln_5][]σ̣υ̣[.]τε....υ.[ [ ]ο̣δου̣κ̣.[ [ ]πιστος
book 204d**,6.2	ωσπ̣[ [ ].ν̣· .[..].[...]ε[[ln_8]...
book 204d**,7	...[ln_1][ ].[ []φά̣⏑δ[ [] [[ln_3]...
book 204d**,8	...[ln_1][ ].[ []ει.[ [] [[ln_3]...
book 204d**,9	...[ln_1]]α[[ln_1]...
book 204d**,10	...[ln_1]]κ̣κα.[[ln_1]...
book 204d**,11	...[ln_1].[ ο̣[ ⸐.[ ἰω[[ln_5].[[ln_5]...
book 204d**,12.1	...[ln_1][ ].[..].[ .].[...] δέ τοι
book 204d**,12.2	τρ̣[ πέλας
book 204d**,12.3	πυρὸς ⸏...ρο̣ις μεθυ.[[ln_5]..αν ζε[.]μ̣εν̣[.].[ χι̣ὼν δ’ ἀ̣ρι̣στι̣ππ.[ [].όμ̣βρο̣υ κ[.]ρα· .[[ln_7]...
book 205	λινᾶ δέ, πίσσα κὠμολίνου μακροὶ τόνοι
book 207**.1	[spk_προμ. (]ΠΡΟΜ. (ad Satyrum flammam primitus visam osculaturum)·[ln_1]τράγος γένειον ἆρα
book 207**.2	πενθήσεις σύ γε
book 208	[ln_1]σιγῶν θ’ ὅπου δεῖ καὶ λέγων τὰ καίρια
book 209	[ln_1]δίπολοι
book 210.1	σιτουμένην δύστηνον ἀθλίαν φάβα μέσακτα
book 210.2	πλευρὰ πρὸς
book 210.3	πτύοις
book 210.4	πεπληγμένην
book 211	καὶ τὸν ἰχθύων γάρον
book 212	Εἰδώ
book 213	ἄεπτοι (vel ἄαπτοι?)
book 214	ἁμάδα
book 215	ἐπάξω
book 216	εἴ μοι γένοιτο φᾶρος ἶξον οὐρανῷ
book 217	ἀναρροιβδεῖ
book 218	ἀνήρης
book 219	ἔκλογον
book 220	κανθύλας
book 221.1	Ζεύς, ὃς κατέκτα
book 221.2	τοῦτον
book 222	Ἀμφίδρομος
book 223	ἀνταία
book 224	ἄστεκτα
book 225.1	καὶ νίπτρα δὴ χρὴ θεοφόρων
book 225.2	ποδῶν φέρειν. λεοντοβάμων
book 225.3	ποῦ σκάφη
book 225.4	χαλκήλατος;
book 226	σὺ δ’ ὁ σταθμοῦχος εὖ κατιλλώψας ἄθρει
book 227.1	ἀλλ’ ἀρουραῖός τίς ἐστι
book 227.2	σμίνθος ὧδ’ ὑπερφυής;
book 228	[spk_〈σις.〉]〈ΣΙΣ.〉 Ζαγρεῖ τε νῦν μοι καὶ πολυξένῳ 〈πατρὶ〉 χαίρειν
book 229	καὶ θανόντων, οἷσιν οὐκ ἔνεστ’ ἰκμάς
book 230.1	σοὶ δ’ οὐκ ἔνεστι κῖκυς οὐδ’ αἱμόρρυτοι
book 230.2	φλέβες
book 231	ἄμβωνες
book 232	δίοπος
book 233	Αἰτναῖός ἐστι κάνθαρος βίᾳ πονῶν
book 234	θώψεις
book 235.1	τῷ δὲ ξένῳ γε
book 235.2	στέφανον, ἀρχαῖον
book 235.3	στέφος, δεσμῶν ἄριστον ἐκ
book 235.4	Προμηθέως λόγου
book 236.1	Σφίγγα δυσαμεριᾶν
book 236.2	πρύτανιν κύνα
book 237.1	κνοῦς (= ὁ τῶν
book 237.2	ποδῶν ψόφος)
book 238*.1	κύδιστ’ Ἀχαιῶν Ἀτρέως
book 238*.2	πολυκοίρανε μάνθανέ μου
book 238*.3	παῖ
book 239*	[spk_τηλ]ΤΗΛ. ἁπλῆ γὰρ οἷμος εἰς Ἅιδου φέρει
book 240.1	ἀμφιδεξίοις
book 240.2	χερσί
book 241.1	οὔπω
book 241.2	τις Ἀκταίων’ ἄθηρος ἡμέρα κενόν, πόνου
book 241.3	πλουτοῦντ’, ἔπεμψεν ἐς δόμους
book 242.1	†άδων
book 242.2	ταῖς† ἁγναῖς
book 242.3	παρθένοις γαμηλίων λέκτρων †αστειμη† βλεμμάτων ῥέπει βολή
book 243	νέας γυναικὸς οὔ με μὴ λάθῃ φλέγων ὀφθαλμός, ἥτις ἀνδρὸς ᾖ γεγευμένη· ἔχω δὲ τούτων θυμὸν ἱππογνώμονα
book 244*	κύνες διημάθυνον ἄνδρα δεσπότην (i.e. Actaeonem)
book 245*	nomina canum Actaeonis: Κόραξ Ἅρπυια Χάρων Λυκόττας
book 246	πεζοφόροις ζώμασιν
book 246b	βιοτὴν αὔξιμον ἐμψίουσα(?)
book 246c	δίκρα ὄψις
book 246d.1	πεδοίκου
book 246d.2	χελιδόνος
book 247*	Ὑψώ
book 248	ἀποκορσωσαμέναις
book 249	[spk_〈φιλ.〉]〈ΦΙΛ.〉 Σπερχειὲ ποταμὲ βούνομοί τ’ ἐπιστροφαί
book 250*	[spk_φιλ]ΦΙΛ. ἔνθ’ οὔτε μίμνειν ἄνεμος οὔτ’ ἐκπλεῖν ἐᾷ
book 251	κρεμάσας 〈⏑〉 τόξον πίτυος ἐκ μελανδρύου
book 252*	[spk_φιλ]ΦΙΛ. οὐ (γὰρ) ὁ δράκων ἀνῆκεν, ἀλλ’ ἐνῴκισεν δεινὴν †στομάτων† ἔμφυσιν, ποδὸς βλάβην
book 253.1	ΦΙΛ. φαγέδαινα〈.〉, ἥ μου σάρκας ἐσθίει
book 253.2	ποδός
book 254**.1	ΦΙΛ. ὦ πούς, ἀφήσω
book 254**.2	σε;
book 255*.1	[spk_〈φιλ.〉]〈ΦΙΛ.〉 ὦ θάνατε
book 255*.2	παιών, μή μ’ ἀτιμάσῃς μολεῖν· μόνος 〈γὰρ〉 εἶ σὺ τῶν ἀνηκέστων κακῶν ἰατρός, ἄλγος δ’ οὐδὲν ἅπτεται νεκροῦ
book 255a	ἑλωρεύς
book 256	ὀκορνούς
book 257	φαβῶν
book 258.1	καὶ ψευδόδειπνα
book 258.2	πολλὰ μαργώσης γνάθου ἐρρυσίαζον
book 258.3	στόματος ἐν
book 258.4	πρώτῃ χαρᾷ
book 258a*	× – ἄνηστις δ’ οὐκ ἀποστατεῖ γόος
book 259	πέλλυτρ’ ἔχουσιν εὐθέτοις ἐν ἀρβύλαις
book 259a	ἅ̣ρ̣π̣αγοι̣ χ̣ε̣[ρ]ο̣ῖν
book 261	[ln_1]× – ἔδυ δ’ (sc. Perseus) ἐς ἄντρον ἀσχέδωρος ὥς
book 263.1	ἀλλὰ ναυβάτην
book 263.2	φορτηγόν, ὅστις ῥῶπον ἐξάγει
book 263.3	χθονός
book 264.1	ἀνὴρ δ’ ἐκεῖνος (sc. Hector) ἦν
book 264.2	πεπαίτερος μόρων
book 265	διαπεφρούρηται βίος
book 266.1	καὶ τοὺς θανόντας εἰ θέλεις εὐεργετεῖν εἴτ’ οὖν κακουργεῖν, ἀμφιδεξίως ἔχει·[ln_2]............................... καὶ μήτε
book 266.2	χαίρειν μήτε λυπεῖσθαι βροτούς. ἡμῶν γε μέντοι νέμεσις ἐσθ’ ὑπερτέρα,[ln_5]καὶ τοῦ θανόντος ἡ Δίκη
book 266.3	πράσσει κότον
book 267.1	Ἀνδραίμονος γένεθλον 〈–〉 Λυρνησσίου, ὅθεν
book 267.2	περ Ἕκτωρ ἄλοχον ἤγαγεν φίλην
book 268*	ἀγαστά
book 269	ἀδίοπον
book 270	ἅροπον
book 271	ἐπιστροφαί
book 272	τιτῆναι
book 273.1	[spk_〈χο.〉]〈ΧΟ.〉 Ἑρμᾶν μὲν
book 273.2	πρόγονον τίομεν γένος οἱ περὶ λίμναν
book 273a**.1	[spk_〈χο. (]〈ΧΟ. (ad Ulixem)〉 ἄγε νῦν, ὦ ξεῖν’, ἐπὶ ποιοφύτ̣ων ἵστω̣ σ̣ηκῶν
book 273a**.2	φοβερᾶς λίμνας ὑπό τ’ αὐχένιον λαιμὸν ἀμήσας
book 273a**.3	τοῦδε
book 273a**.4	σφαγίου̣ ποτὸν ἀψύχοις[ln_5]αἷμα μεθίει δ̣ονάκω̣ν̣ ε̣ἰς βένθος ἀμα̣υρόν. Χθόνα δ’ ὠγυγίαν ἐπικεκλόμενος
book 273a**.5	χθόνιόν θ’ Ἑρμῆν
book 273a**.6	πομπὸν
book 273a**.7	φθιμένων̣ [αἰ]τοῦ χθόνιον Δία ν̣υ̣κ̣τιπόλων[ln_10]ἑσμὸν ἀνεῖναι
book 273a**.8	ποτ̣αμοῦ στομάτ̣ω̣ν, οὗ τόδ’ ἀπορρὼξ ἀμέγαρτον ὕδωρ κἀχέρνιπ̣τ̣ο̣ν
book 273a**.9	Στυγίοις να̣[σ]μοῖσιν ἀνεῖται.
book 274	καὶ σκευοθηκῶν ναυτικῶν τ’ ἐρειπίων
book 275.1	[spk_〈τειρεσιας (]〈ΤΕΙΡΕΣΙΑΣ (ad Ulixem)·〉[ln_1]ἐρωδιὸς γὰρ ὑψόθεν
book 275.2	ποτώμενος ὄνθῳ σε
book 275.3	πλήξει νηδύος
book 275.4	χαλώμασιν· ἐκ
book 275.5	τοῦδ’ ἄκανθα
book 275.6	ποντίου βοσκήματος σήψει
book 275.7	παλαιὸν δέρμα καὶ τριχορρυές
book 276	σταθεροῦ χεύματος
book 277	Δαῖρα (i.e. Proserpina)
book 278	δρώπτειν
book 279	ἀνηκίδωτοι
book 280	αὐριβάτας
book 280a	ᾤας (= τὰς κώμας)
book 281**.1	[ln_1][spk_〈βορεας·〉]〈ΒΟΡΕΑΣ·〉 ***[ln_a]πρὸς οὐρανὸν ἐξεμεῖν[ln_b]Aeschylus Boream tibicinem fecit[ln_c]ταῖς δυσὶ σιαγόσι
book 281**.2	φυσῶν ὁ Βορέας κυκᾷ τὴν θάλασσαν[ln_d]× καὶ καμίνου
book 281**.3	σχῶσι μάκιστον σέλας.[ln_2]εἰ γάρ
book 281**.4	τιν’ ἑστιοῦχον ὄψομαι μόνον, μίαν
book 281**.5	παρείρας
book 281**.6	πλεκτάνην
book 281**.7	χειμάρροον
book 281**.8	στέγην
book 281**.9	πυρώσω καὶ κατανθρακώσομαι·[ln_5]νῦν δ’ οὐ κέκραγά πω τὸ γενναῖον μέλος
book 281a.1	[spk_〈δικη·〉]〈ΔΙΚΗ·〉 μακάρων .[ αυτη θε̣ων[ .]αι̣’ ..λ̣.π̣ε.δ.[ .].[......].ν.[[ln_5]ἵζει δ’ ἐν αὐτ̣ῶ̣ι̣ .[.]..[.]..[.].[ δίκῃ κρατήσας τῶ̣ι̣δε.[ πατὴρ γὰρ ἦρξεν̣, ἀνταμ[ ἐκ
book 281a.2	τοῦ δέ τοί με Ζεὺς ἐ̣τίμ̣[ησεν ὁτιὴ παθων ημ̣[..].[[ln_10]ἵζω Δι̣ὸς θρόνοισιν [...]ϊσμέν̣η̣· πέμπει δέ̣ μ’ αὐτὸς οἷσι̣ν̣ εὐμεν[
book 281a	[spk_〈χο.〉]Ζ̣[ε]ύ̣ς̣, ὅσπερ ἐς γῆν τήν̣δ̣’ ἔπε̣μψέ μ’ ..[ .[..]εσθε δ’ ὑμεῖς εἴ τι μὴ μά̣[την] λ̣έγω. 〈ΧΟ.〉 ⸏.[..]οῦ[. προ]σ̣ε̣ν̣ν̣έποντες εὐ.[].ήσομε̣[ν;
book 281a.1	[ln_15][spk_〈δι.〉]〈ΔΙ.〉 ⸏Δίκην μ.[...]ο̣ν π̣ρ̣εσβο̣.η.ε̣...ρο̣.[ 〈ΧΟ.〉 ⸏ποίας δὲ τ[ιμ]ῆς ἀρχ.......εις.[ 〈ΔΙ.〉 το]ῖ̣ς̣ μὲν δ[ι]καίοις̣ ἔνδι̣κ̣ον
book 281a.2	τειν..ο̣[
book 281a.1	[spk_〈χο.〉]〈ΧΟ.〉 ].σα θέ̣[σ]μ̣[ι]ο̣ν̣ τ̣ό̣δ̣’ ἐν β̣ρ̣[ο]τ̣ο̣[ῖς. 〈ΔΙ.〉 τοῖς δ’ αὖ μα]ταίοις .[.].[.]....[..]....φ̣[[ln_20]〈ΧΟ.〉 ἐ]πῳδαῖ̣ς ἢ κατ’ ἰσχύος
book 281a.2	τρόπο̣[ν]; 〈ΔΙ.〉 γράφουσα] τ̣ἀ̣〈μ〉π̣λακ̣ήματ’ ἐ̣ν δέλτῳ Διό̣[ς. 〈ΧΟ.〉 ].ωι̣ δ̣ὲ̣ πίνακ’ ἀναπτύσσει̣[ς] κακ[ 〈ΔΙ.〉 ]ηι
book 281a.3	σφιν ἡμέρα τὸ κύριον. [ ]εκτέα
book 281a.4	στρατῷ[ln_25][ ]έχοιτό μ’ εὐφρ[όν]ως. [ ].[.......]ησᾶτα[..]εχω[.] [ ]ν[......]ο ἐπισπέ...[....]..[.] πό]λ̣ις
book 281a.5	τι̣ς̣ οὔτε δῆμος οὔτ’ ἔτη̣ς ἀνὴρ τ̣οιάνδε μοῖραν π[αρ]ὰ̣ θεῶν καρπουμένη[[ln_30]τ̣έ̣κμαρ δὲ λέξ̣ω τῶ̣ι̣ τόδ’ εὐδερ̣κὲ[ς] φερε[..].[ ἔθρε[ψ.] παῖδα μ̣άργον ὃν τί̣κ̣τ̣ει̣ [ Ἥρα μιγεῖσα Ζηνὶ θυμοιδ[ δ]ύ̣σ̣α̣ρ̣κτ[ο]ν, αἰδὼς δ’ οὐκ ἐνῆ[ν] φ̣ρ̣[ον]ήματι· [ ].υκτα τῶν ὁδοιπόρων βέλη[ln_35][ ].δως ἀγκύλαισιν ἀρταμων· [ ]῀̣ν ἔχ̣[αι]ρ̣ε κἀγέλα κακὸν []ν ῎̣ζοι φόνος· []μ̣ουμένη [ ].ιπρ[.....]γον χέρα[ln_40][ ]οῦν ἐνδίκως̣ κ̣ικλήσκεται [ ]νιν ἔνδικ̣[.....].ος·
book 281a	(...)
book 281b.1	...[ln_1][ ]..[ [ ]εασε.[ [ ]ω̣ τόδ’ ἐχθ.[.].[ []ερρύθμιξα κα[[ln_5][]παισα· παι..[ []ητο
book 281b.2	παίεσθαί .[
book 282.1	κυρεῖν
book 282.2	παρασχὼν ἰταμαῖς κυσὶν ἀεροφοίτοις
book 283	ἀναξίαν
book 284	Βοῦράν θ’ ἱερὰν καὶ Κερύνειαν, Ῥῦπας, Δύμην, Ἑλίκην, Αἴγιον ἠδ’ Αἴγειραν τήν τ’ αἰπεινὴν ζαθέαν Ὤλενον
book 285	insulae νηριτοτρόφοι(?)
book 286	ὑπόξυλος
book 287	ἀποφύλιοι (= ξένοι)
book 288.1	δέδοικα μῶρον κάρτα
book 288.2	πυραύστου μόρον
book 289.1	βοᾷς
book 289.2	τοιοῦδε
book 289.3	πράγματος θεωρὸς ὤν
book 290	φρὴν ἀγέλαστος
book 291	θρηνεῖ δὲ γόον τὸν ἀηδόνιον
book 292	ἀκνίσωτος οἶκος
book 293	× – ἄκουε τὰς ἐμὰς ἐπιστολάς
book 295	αὐτόκρανον λόγον
book 296**.1	πᾶσα γὰρ
